2024/04/12 20:47:03 ID: 241, Data: 9C170100E3FF8105, Celsius: 23, A: +0.01, rev/s: -0.081,  rev: +3.914
2024/04/12 20:47:03 ID: 241, Data: 9C17FBFFD6FF7D05, Celsius: 23, A: -0.05, rev/s: -0.117,  rev: +3.903
2024/04/12 20:47:03 ID: 241, Data: 9C170100DDFF7A05, Celsius: 23, A: +0.01, rev/s: -0.097,  rev: +3.894
2024/04/12 20:47:03 ID: 241, Data: 9C17F5FFE2FF7605, Celsius: 23, A: -0.11, rev/s: -0.083,  rev: +3.883
2024/04/12 20:47:03 ID: 241, Data: 9C170100DAFF7205, Celsius: 23, A: +0.01, rev/s: -0.106,  rev: +3.872
2024/04/12 20:47:03 ID: 241, Data: 9C17F3FFE2FF6F05, Celsius: 23, A: -0.13, rev/s: -0.083,  rev: +3.864
2024/04/12 20:47:03 ID: 241, Data: 9C170100D8FF6B05, Celsius: 23, A: +0.01, rev/s: -0.111,  rev: +3.853
2024/04/12 20:47:03 ID: 241, Data: 9C17F7FFE6FF6705, Celsius: 23, A: -0.09, rev/s: -0.072,  rev: +3.842
2024/04/12 20:47:04 ID: 241, Data: 9C170100D3FF6305, Celsius: 23, A: +0.01, rev/s: -0.125,  rev: +3.831
2024/04/12 20:47:04 ID: 241, Data: 9C17FEFFE9FF6005, Celsius: 23, A: -0.02, rev/s: -0.064,  rev: +3.822
2024/04/12 20:47:04 ID: 241, Data: 9C17FEFFD4FF5C05, Celsius: 23, A: -0.02, rev/s: -0.122,  rev: +3.811
2024/04/12 20:47:04 ID: 241, Data: 9C17FFFFEBFF5805, Celsius: 23, A: -0.01, rev/s: -0.058,  rev: +3.800
2024/04/12 20:47:04 ID: 241, Data: 9C17FCFFD5FF5505, Celsius: 23, A: -0.04, rev/s: -0.119,  rev: +3.792
2024/04/12 20:47:04 ID: 241, Data: 9C170000E8FF5105, Celsius: 23, A: +0.00, rev/s: -0.067,  rev: +3.781
2024/04/12 20:47:04 ID: 241, Data: 9C17FCFFD6FF4D05, Celsius: 23, A: -0.04, rev/s: -0.117,  rev: +3.769
2024/04/12 20:47:04 ID: 241, Data: 9C170300E5FF4905, Celsius: 23, A: +0.03, rev/s: -0.075,  rev: +3.758
2024/04/12 20:47:04 ID: 241, Data: 9C17FBFFD8FF4605, Celsius: 23, A: -0.05, rev/s: -0.111,  rev: +3.750
2024/04/12 20:47:05 ID: 241, Data: 9C170600DEFF4205, Celsius: 23, A: +0.06, rev/s: -0.094,  rev: +3.739
2024/04/12 20:47:05 ID: 241, Data: 9C17F5FFE7FF3E05, Celsius: 23, A: -0.11, rev/s: -0.069,  rev: +3.728
2024/04/12 20:47:05 ID: 241, Data: 9C170500D4FF3A05, Celsius: 23, A: +0.05, rev/s: -0.122,  rev: +3.717
2024/04/12 20:47:05 ID: 241, Data: 9C17F7FFEAFF3705, Celsius: 23, A: -0.09, rev/s: -0.061,  rev: +3.708
2024/04/12 20:47:05 ID: 241, Data: 9C170500D4FF3305, Celsius: 23, A: +0.05, rev/s: -0.122,  rev: +3.697
