2024/04/12 20:57:43 ID: 241, Data: 9C181800F201F703, Celsius: 24, A: +0.24, rev/s: +1.383,  rev: +2.819
2024/04/12 20:57:44 ID: 241, Data: 9C181A0017033D04, Celsius: 24, A: +0.26, rev/s: +2.197,  rev: +3.014
2024/04/12 20:57:44 ID: 241, Data: 9C181D00A1039704, Celsius: 24, A: +0.29, rev/s: +2.581,  rev: +3.264
2024/04/12 20:57:44 ID: 241, Data: 9C182900D201E704, Celsius: 24, A: +0.41, rev/s: +1.294,  rev: +3.486
2024/04/12 20:57:44 ID: 241, Data: 9C181D000000F504, Celsius: 24, A: +0.29, rev/s: +0.000,  rev: +3.525
2024/04/12 20:57:44 ID: 241, Data: 9C181D000000F504, Celsius: 24, A: +0.29, rev/s: +0.000,  rev: +3.525
2024/04/12 20:57:44 ID: 241, Data: 9C181E000100F504, Celsius: 24, A: +0.30, rev/s: +0.003,  rev: +3.525
2024/04/12 20:57:44 ID: 241, Data: 9C181D000000F504, Celsius: 24, A: +0.29, rev/s: +0.000,  rev: +3.525
2024/04/12 20:57:44 ID: 241, Data: 9C181E000000F504, Celsius: 24, A: +0.30, rev/s: +0.000,  rev: +3.525
2024/04/12 20:57:44 ID: 241, Data: 9C181D000000F504, Celsius: 24, A: +0.29, rev/s: +0.000,  rev: +3.525
2024/04/12 20:57:44 ID: 241, Data: 9C181E000000F504, Celsius: 24, A: +0.30, rev/s: +0.000,  rev: +3.525
2024/04/12 20:58:35 ID: 241, Data: 9C18F7FFAAFFD804, Celsius: 24, A: -0.09, rev/s: -0.239,  rev: +3.444
2024/04/12 20:58:35 ID: 241, Data: 9C18FCFF94FFCD04, Celsius: 24, A: -0.04, rev/s: -0.300,  rev: +3.414
2024/04/12 20:58:35 ID: 241, Data: 9C18FDFF97FFC204, Celsius: 24, A: -0.03, rev/s: -0.292,  rev: +3.383
2024/04/12 20:58:35 ID: 241, Data: 9C18FBFF94FFB704, Celsius: 24, A: -0.05, rev/s: -0.300,  rev: +3.353
2024/04/12 20:58:36 ID: 241, Data: 9C18FEFF96FFAB04, Celsius: 24, A: -0.02, rev/s: -0.294,  rev: +3.319
2024/04/12 20:58:36 ID: 241, Data: 9C18F9FF94FFA004, Celsius: 24, A: -0.07, rev/s: -0.300,  rev: +3.289
2024/04/12 20:58:36 ID: 241, Data: 9C18FDFF96FF9504, Celsius: 24, A: -0.03, rev/s: -0.294,  rev: +3.258
2024/04/12 20:58:36 ID: 241, Data: 9C18F6FF94FF8A04, Celsius: 24, A: -0.10, rev/s: -0.300,  rev: +3.228
2024/04/12 20:58:36 ID: 241, Data: 9C18FFFF8DFF7F04, Celsius: 24, A: -0.01, rev/s: -0.319,  rev: +3.197
2024/04/12 20:58:36 ID: 241, Data: 9C18000098FF7404, Celsius: 24, A: +0.00, rev/s: -0.289,  rev: +3.167
2024/04/12 20:58:36 ID: 241, Data: 9C18FBFF94FF6904, Celsius: 24, A: -0.05, rev/s: -0.300,  rev: +3.136
2024/04/12 20:58:36 ID: 241, Data: 9C18000095FF5D04, Celsius: 24, A: +0.00, rev/s: -0.297,  rev: +3.103
