2024/04/15 11:02:52 ID: 241, Data: 9C1913005B01200E, Celsius: 25, A: +0.19, rev/s: +0.964,  rev: +10.044
2024/04/15 11:02:52 ID: 241, Data: 9C1815006302520E, Celsius: 24, A: +0.21, rev/s: +1.697,  rev: +10.183
2024/04/15 11:02:52 ID: 241, Data: 9C191E000003950E, Celsius: 25, A: +0.30, rev/s: +2.133,  rev: +10.369
2024/04/15 11:02:53 ID: 241, Data: 9C1821009403F00E, Celsius: 24, A: +0.33, rev/s: +2.544,  rev: +10.622
2024/04/15 11:02:53 ID: 241, Data: 9C191E0031045A0F, Celsius: 25, A: +0.30, rev/s: +2.981,  rev: +10.917
2024/04/15 11:02:53 ID: 241, Data: 9C191200C604D10F, Celsius: 25, A: +0.18, rev/s: +3.394,  rev: +11.247
2024/04/15 11:02:53 ID: 241, Data: 9C191C006C055610, Celsius: 25, A: +0.28, rev/s: +3.856,  rev: +11.617
2024/04/15 11:02:53 ID: 241, Data: 9C1914008705E210, Celsius: 25, A: +0.20, rev/s: +3.931,  rev: +12.006
2024/04/15 11:02:53 ID: 241, Data: 9C182100DA057711, Celsius: 24, A: +0.33, rev/s: +4.161,  rev: +12.419
2024/04/15 11:02:53 ID: 241, Data: 9C1817000D061412, Celsius: 24, A: +0.23, rev/s: +4.303,  rev: +12.856
2024/04/15 11:02:53 ID: 241, Data: 9C181A00FD05B312, Celsius: 24, A: +0.26, rev/s: +4.258,  rev: +13.297
2024/04/15 11:02:53 ID: 241, Data: 9C18160048065713, Celsius: 24, A: +0.22, rev/s: +4.467,  rev: +13.753
2024/04/15 11:02:53 ID: 241, Data: 9C191C007606FF13, Celsius: 25, A: +0.28, rev/s: +4.594,  rev: +14.219
2024/04/15 11:02:54 ID: 241, Data: 9C191400B306AD14, Celsius: 25, A: +0.20, rev/s: +4.764,  rev: +14.703
2024/04/15 11:02:54 ID: 241, Data: 9C182800C2065F15, Celsius: 24, A: +0.40, rev/s: +4.806,  rev: +15.197
2024/04/15 11:02:54 ID: 241, Data: 9C181400E3061216, Celsius: 24, A: +0.20, rev/s: +4.897,  rev: +15.694
2024/04/15 11:02:54 ID: 241, Data: 9C181600C706C316, Celsius: 24, A: +0.22, rev/s: +4.819,  rev: +16.186
2024/04/15 11:02:54 ID: 241, Data: 9C181400EC067617, Celsius: 24, A: +0.20, rev/s: +4.922,  rev: +16.683
2024/04/15 11:02:54 ID: 241, Data: 9C181B00DE062A18, Celsius: 24, A: +0.27, rev/s: +4.883,  rev: +17.183
2024/04/15 11:02:54 ID: 241, Data: 9C191200FD06DD18, Celsius: 25, A: +0.18, rev/s: +4.969,  rev: +17.681
2024/04/15 11:02:54 ID: 241, Data: 9C182200C1069019, Celsius: 24, A: +0.34, rev/s: +4.803,  rev: +18.178
2024/04/15 11:02:54 ID: 241, Data: 9C181500F406441A, Celsius: 24, A: +0.21, rev/s: +4.944,  rev: +18.678
2024/04/15 11:02:54 ID: 241, Data: 9C182400E706F61A, Celsius: 24, A: +0.36, rev/s: +4.908,  rev: +19.172
2024/04/15 11:02:55 ID: 241, Data: 9C191D00FF06AB1B, Celsius: 25, A: +0.29, rev/s: +4.975,  rev: +19.675
2024/04/15 11:02:55 ID: 241, Data: 9C182900E2065F1C, Celsius: 24, A: +0.41, rev/s: +4.894,  rev: +20.175
2024/04/15 11:02:55 ID: 241, Data: 9C182100E706121D, Celsius: 24, A: +0.33, rev/s: +4.908,  rev: +20.672
2024/04/15 11:02:55 ID: 241, Data: 9C182200D606C51D, Celsius: 24, A: +0.34, rev/s: +4.861,  rev: +21.169
2024/04/15 11:02:55 ID: 241, Data: 9C182500E106791E, Celsius: 24, A: +0.37, rev/s: +4.892,  rev: +21.669
2024/04/15 11:02:55 ID: 241, Data: 9C182500D4062B1F, Celsius: 24, A: +0.37, rev/s: +4.856,  rev: +22.164
2024/04/15 11:02:55 ID: 241, Data: 9C182A00E706DF1F, Celsius: 24, A: +0.42, rev/s: +4.908,  rev: +22.664
2024/04/15 11:02:55 ID: 241, Data: 9C182300E1069320, Celsius: 24, A: +0.35, rev/s: +4.892,  rev: +23.164
2024/04/15 11:02:55 ID: 241, Data: 9C182800E8064721, Celsius: 24, A: +0.40, rev/s: +4.911,  rev: +23.664
2024/04/15 11:02:56 ID: 241, Data: 9C182600DF06FB21, Celsius: 24, A: +0.38, rev/s: +4.886,  rev: +24.164
2024/04/15 11:02:56 ID: 241, Data: 9C182300EB06B022, Celsius: 24, A: +0.35, rev/s: +4.919,  rev: +24.667
2024/04/15 11:02:56 ID: 241, Data: 9C182400E8066523, Celsius: 24, A: +0.36, rev/s: +4.911,  rev: +25.169
2024/04/15 11:02:56 ID: 241, Data: 9C18120034071C24, Celsius: 24, A: +0.18, rev/s: +5.122,  rev: +25.678
2024/04/15 11:02:56 ID: 241, Data: 9C191A000407D424, Celsius: 25, A: +0.26, rev/s: +4.989,  rev: +26.189
2024/04/15 11:02:56 ID: 241, Data: 9C1819001D078B25, Celsius: 24, A: +0.25, rev/s: +5.058,  rev: +26.697
2024/04/15 11:02:56 ID: 241, Data: 9C192600CE064326, Celsius: 25, A: +0.38, rev/s: +4.839,  rev: +27.208
2024/04/15 11:02:56 ID: 241, Data: 9C191700EC06FA26, Celsius: 25, A: +0.23, rev/s: +4.922,  rev: +27.717
2024/04/15 11:02:56 ID: 241, Data: 9C182500F406B027, Celsius: 24, A: +0.37, rev/s: +4.944,  rev: +28.222
2024/04/15 11:02:56 ID: 241, Data: 9C18240012076828, Celsius: 24, A: +0.36, rev/s: +5.028,  rev: +28.733
2024/04/15 11:02:57 ID: 241, Data: 9C182500D4061E29, Celsius: 24, A: +0.37, rev/s: +4.856,  rev: +29.239
2024/04/15 11:02:57 ID: 241, Data: 9C1822000B07D529, Celsius: 24, A: +0.34, rev/s: +5.008,  rev: +29.747
2024/04/15 11:02:57 ID: 241, Data: 9C181A00BE068B2A, Celsius: 24, A: +0.26, rev/s: +4.794,  rev: +30.253
2024/04/15 11:02:57 ID: 241, Data: 9C181800F506412B, Celsius: 24, A: +0.24, rev/s: +4.947,  rev: +30.758
2024/04/15 11:02:57 ID: 241, Data: 9C181900DB06F62B, Celsius: 24, A: +0.25, rev/s: +4.875,  rev: +31.261
2024/04/15 11:02:57 ID: 241, Data: 9C181200FD06AE2C, Celsius: 24, A: +0.18, rev/s: +4.969,  rev: +31.772
2024/04/15 11:02:57 ID: 241, Data: 9C191A00C906632D, Celsius: 25, A: +0.26, rev/s: +4.825,  rev: +32.275
2024/04/15 11:02:57 ID: 241, Data: 9C1912000F071B2E, Celsius: 25, A: +0.18, rev/s: +5.019,  rev: +32.786
