2024/04/12 15:38:39 ID: 241, Data: 9C1A05000400A9D4, Celsius: 26, A: +0.05, rev/s: +0.011,  rev: -30.819
2024/04/12 15:38:39 ID: 241, Data: 9C1A0600FFFFA9D4, Celsius: 26, A: +0.06, rev/s: -0.003,  rev: -30.819
2024/04/12 15:38:39 ID: 241, Data: 9C1A07000200A9D4, Celsius: 26, A: +0.07, rev/s: +0.006,  rev: -30.819
2024/04/12 15:38:39 ID: 241, Data: 9C1A05000000A9D4, Celsius: 26, A: +0.05, rev/s: +0.000,  rev: -30.819
2024/04/12 15:38:39 ID: 241, Data: 9C1A06000900A9D4, Celsius: 26, A: +0.06, rev/s: +0.025,  rev: -30.819
2024/04/12 15:38:39 ID: 241, Data: 9C1A06000000A9D4, Celsius: 26, A: +0.06, rev/s: +0.000,  rev: -30.819
2024/04/12 15:38:39 ID: 241, Data: 9C1A06000700A9D4, Celsius: 26, A: +0.06, rev/s: +0.019,  rev: -30.819
2024/04/12 15:40:11 ID: 241, Data: 9C1A0C008B00AED4, Celsius: 26, A: +0.12, rev/s: +0.386,  rev: -30.806
2024/04/12 15:40:11 ID: 241, Data: 9C1A07000E01BDD4, Celsius: 26, A: +0.07, rev/s: +0.750,  rev: -30.764
2024/04/12 15:40:12 ID: 241, Data: 9C1A0B002701D8D4, Celsius: 26, A: +0.11, rev/s: +0.819,  rev: -30.689
2024/04/12 15:40:12 ID: 241, Data: 9C1A11007B01FCD4, Celsius: 26, A: +0.17, rev/s: +1.053,  rev: -30.589
2024/04/12 15:40:12 ID: 241, Data: 9C1A0A00F0012CD5, Celsius: 26, A: +0.10, rev/s: +1.378,  rev: -30.456
2024/04/12 15:40:12 ID: 241, Data: 9C1A0500500265D5, Celsius: 26, A: +0.05, rev/s: +1.644,  rev: -30.297
2024/04/12 15:40:12 ID: 241, Data: 9C1A0300D702A9D5, Celsius: 26, A: +0.03, rev/s: +2.019,  rev: -30.108
2024/04/12 15:40:12 ID: 241, Data: 9C1A08004F03F8D5, Celsius: 26, A: +0.08, rev/s: +2.353,  rev: -29.889
2024/04/12 15:40:12 ID: 241, Data: 9C1AFEFFA20351D6, Celsius: 26, A: -0.02, rev/s: +2.583,  rev: -29.642
