2024/04/15 14:02:16 ID: 241, Data: 9C4F9E02F7FF9002, Celsius: 79, A: +6.70, rev/s: -0.025,  rev: +1.822
2024/04/15 14:02:16 ID: 241, Data: 9C4F9E02F5FF9002, Celsius: 79, A: +6.70, rev/s: -0.031,  rev: +1.822
2024/04/15 14:02:16 ID: 241, Data: 9C50FDFF6DFC7502, Celsius: 80, A: -0.03, rev/s: -2.542,  rev: +1.747
2024/04/15 14:02:16 ID: 241, Data: 9C50E3FF68FE3F02, Celsius: 80, A: -0.29, rev/s: -1.133,  rev: +1.597
2024/04/15 14:02:16 ID: 241, Data: 9C50D4FFA0FE1702, Celsius: 80, A: -0.44, rev/s: -0.978,  rev: +1.486
2024/04/15 14:02:16 ID: 241, Data: 9C50E7FFA4FEF101, Celsius: 80, A: -0.25, rev/s: -0.967,  rev: +1.381
2024/04/15 14:02:16 ID: 241, Data: 9C4FD8FFBDFECC01, Celsius: 79, A: -0.40, rev/s: -0.897,  rev: +1.278
2024/04/15 14:02:16 ID: 241, Data: 9C50D0FF6DFEA701, Celsius: 80, A: -0.48, rev/s: -1.119,  rev: +1.175
2024/04/15 14:02:17 ID: 241, Data: 9C50EBFF65FE8301, Celsius: 80, A: -0.21, rev/s: -1.142,  rev: +1.075
2024/04/15 14:02:17 ID: 241, Data: 9C50EAFFC2FE5E01, Celsius: 80, A: -0.22, rev/s: -0.883,  rev: +0.972
2024/04/15 14:02:17 ID: 241, Data: 9C508CFDB4FF4C01, Celsius: 80, A: -6.28, rev/s: -0.211,  rev: +0.922
2024/04/15 14:02:17 ID: 241, Data: 9C4F0FFD04004B01, Celsius: 79, A: -7.53, rev/s: +0.011,  rev: +0.919
2024/04/15 14:02:17 ID: 241, Data: 9C4F12FDFCFF4B01, Celsius: 79, A: -7.50, rev/s: -0.011,  rev: +0.919
2024/04/15 14:02:17 ID: 241, Data: 9C4F16FDFDFF4B01, Celsius: 79, A: -7.46, rev/s: -0.008,  rev: +0.919
2024/04/15 14:02:17 ID: 241, Data: 9C4F1AFDF8FF4B01, Celsius: 79, A: -7.42, rev/s: -0.022,  rev: +0.919
2024/04/15 14:02:17 ID: 241, Data: 9C4F1AFD00004B01, Celsius: 79, A: -7.42, rev/s: +0.000,  rev: +0.919
2024/04/15 14:02:17 ID: 241, Data: 9C4F1FFDF8FF4B01, Celsius: 79, A: -7.37, rev/s: -0.022,  rev: +0.919
2024/04/15 14:02:17 ID: 241, Data: 9C501CFD0A004B01, Celsius: 80, A: -7.40, rev/s: +0.028,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C4F1FFD0C004B01, Celsius: 79, A: -7.37, rev/s: +0.033,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C4F20FDF7FF4B01, Celsius: 79, A: -7.36, rev/s: -0.025,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C4F22FD03004B01, Celsius: 79, A: -7.34, rev/s: +0.008,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C5022FD00004B01, Celsius: 80, A: -7.34, rev/s: +0.000,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C5023FD00004B01, Celsius: 80, A: -7.33, rev/s: +0.000,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C5023FDEEFF4B01, Celsius: 80, A: -7.33, rev/s: -0.050,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C5023FD02004B01, Celsius: 80, A: -7.33, rev/s: +0.006,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C5024FD09004B01, Celsius: 80, A: -7.32, rev/s: +0.025,  rev: +0.919
2024/04/15 14:02:18 ID: 241, Data: 9C5026FDF5FF4A01, Celsius: 80, A: -7.30, rev/s: -0.031,  rev: +0.917
2024/04/15 14:02:18 ID: 241, Data: 9C5125FD0F004B01, Celsius: 81, A: -7.31, rev/s: +0.042,  rev: +0.919
2024/04/15 14:02:19 ID: 241, Data: 9C5026FD09004B01, Celsius: 80, A: -7.30, rev/s: +0.025,  rev: +0.919
2024/04/15 14:02:19 ID: 241, Data: 9C5029FD02004A01, Celsius: 80, A: -7.27, rev/s: +0.006,  rev: +0.917
2024/04/15 14:02:19 ID: 241, Data: 9C5127FD01004B01, Celsius: 81, A: -7.29, rev/s: +0.003,  rev: +0.919
2024/04/15 14:02:19 ID: 241, Data: 9C5129FD03004A01, Celsius: 81, A: -7.27, rev/s: +0.008,  rev: +0.917
2024/04/15 14:02:19 ID: 241, Data: 9C5128FD0B004B01, Celsius: 81, A: -7.28, rev/s: +0.031,  rev: +0.919
2024/04/15 14:02:19 ID: 241, Data: 9C5128FD04004A01, Celsius: 81, A: -7.28, rev/s: +0.011,  rev: +0.917
2024/04/15 14:02:19 ID: 241, Data: 9C512BFD01004A01, Celsius: 81, A: -7.25, rev/s: +0.003,  rev: +0.917
2024/04/15 14:02:19 ID: 241, Data: 9C5129FD04004A01, Celsius: 81, A: -7.27, rev/s: +0.011,  rev: +0.917
2024/04/15 14:02:19 ID: 241, Data: 9C512BFDFFFF4A01, Celsius: 81, A: -7.25, rev/s: -0.003,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C522BFDF5FF4A01, Celsius: 82, A: -7.25, rev/s: -0.031,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C522DFD0B004A01, Celsius: 82, A: -7.23, rev/s: +0.031,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C522BFD06004A01, Celsius: 82, A: -7.25, rev/s: +0.017,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C522EFD06004A01, Celsius: 82, A: -7.22, rev/s: +0.017,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C522DFDEBFF4A01, Celsius: 82, A: -7.23, rev/s: -0.058,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C522EFDFEFF4A01, Celsius: 82, A: -7.22, rev/s: -0.006,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C532FFDF0FF4A01, Celsius: 83, A: -7.21, rev/s: -0.044,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C522EFDFAFF4A01, Celsius: 82, A: -7.22, rev/s: -0.017,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C5231FDFDFF4A01, Celsius: 82, A: -7.19, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:20 ID: 241, Data: 9C532EFD09004A01, Celsius: 83, A: -7.22, rev/s: +0.025,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C532EFDF7FF4A01, Celsius: 83, A: -7.22, rev/s: -0.025,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5331FDFDFF4A01, Celsius: 83, A: -7.19, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5433FDFBFF4A01, Celsius: 84, A: -7.17, rev/s: -0.014,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5331FD00004A01, Celsius: 83, A: -7.19, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5433FDFCFF4A01, Celsius: 84, A: -7.17, rev/s: -0.011,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5332FDF7FF4A01, Celsius: 83, A: -7.18, rev/s: -0.025,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5433FDFEFF4A01, Celsius: 84, A: -7.17, rev/s: -0.006,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5432FD03004A01, Celsius: 84, A: -7.18, rev/s: +0.008,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5433FD05004A01, Celsius: 84, A: -7.17, rev/s: +0.014,  rev: +0.917
2024/04/15 14:02:21 ID: 241, Data: 9C5333FDFBFF4A01, Celsius: 83, A: -7.17, rev/s: -0.014,  rev: +0.917
2024/04/15 14:02:22 ID: 241, Data: 9C5533FDFEFF4A01, Celsius: 85, A: -7.17, rev/s: -0.006,  rev: +0.917
2024/04/15 14:02:22 ID: 241, Data: 9C5533FD00004A01, Celsius: 85, A: -7.17, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:22 ID: 241, Data: 9C5535FDF7FF4A01, Celsius: 85, A: -7.15, rev/s: -0.025,  rev: +0.917
2024/04/15 14:02:22 ID: 241, Data: 9C5536FD0C004A01, Celsius: 85, A: -7.14, rev/s: +0.033,  rev: +0.917
2024/04/15 14:02:22 ID: 241, Data: 9C5533FDFDFF4A01, Celsius: 85, A: -7.17, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:22 ID: 241, Data: 9C5537FD14004A01, Celsius: 85, A: -7.13, rev/s: +0.056,  rev: +0.917
