2024/04/15 14:25:00 ID: 241, Data: 9C2C7AFF620054EC, Celsius: 44, A: -1.34, rev/s: +0.272,  rev: -13.989
2024/04/15 14:25:00 ID: 241, Data: 9C2CBBFFFD0063EC, Celsius: 44, A: -0.69, rev/s: +0.703,  rev: -13.947
2024/04/15 14:25:00 ID: 241, Data: 9C2CDEFF34017FEC, Celsius: 44, A: -0.34, rev/s: +0.856,  rev: -13.869
2024/04/15 14:25:00 ID: 241, Data: 9C2C9FFF2E01A7EC, Celsius: 44, A: -0.97, rev/s: +0.839,  rev: -13.758
2024/04/15 14:25:00 ID: 241, Data: 9C2C1800F601D0EC, Celsius: 44, A: +0.24, rev/s: +1.394,  rev: -13.644
2024/04/15 14:25:00 ID: 241, Data: 9C2C310078020DED, Celsius: 44, A: +0.49, rev/s: +1.756,  rev: -13.475
2024/04/15 14:25:00 ID: 241, Data: 9C2C0A00C90254ED, Celsius: 44, A: +0.10, rev/s: +1.981,  rev: -13.278
2024/04/15 14:25:01 ID: 241, Data: 9C2C23003403A1ED, Celsius: 44, A: +0.35, rev/s: +2.278,  rev: -13.064
2024/04/15 14:25:01 ID: 241, Data: 9C2C1D008D03FBED, Celsius: 44, A: +0.29, rev/s: +2.525,  rev: -12.814
2024/04/15 14:25:01 ID: 241, Data: 9C2C1900F1035FEE, Celsius: 44, A: +0.25, rev/s: +2.803,  rev: -12.536
2024/04/15 14:25:01 ID: 241, Data: 9C2C14003804CEEE, Celsius: 44, A: +0.20, rev/s: +3.000,  rev: -12.228
2024/04/15 14:25:01 ID: 241, Data: 9C2C06033B0021EF, Celsius: 44, A: +7.74, rev/s: +0.164,  rev: -11.997
2024/04/15 14:25:01 ID: 241, Data: 9C2B5703EDFF22EF, Celsius: 43, A: +8.55, rev/s: -0.053,  rev: -11.994
2024/04/15 14:25:01 ID: 241, Data: 9C2B6603150023EF, Celsius: 43, A: +8.70, rev/s: +0.058,  rev: -11.992
