2024/04/15 13:30:46 ID: 241, Data: 9C235500A3FFFDFF, Celsius: 35, A: +0.85, rev/s: -0.258,  rev: -0.008
2024/04/15 13:30:47 ID: 241, Data: 9C233F0078FFF1FF, Celsius: 35, A: +0.63, rev/s: -0.378,  rev: -0.042
2024/04/15 13:30:47 ID: 241, Data: 9C2385009CFFE3FF, Celsius: 35, A: +1.33, rev/s: -0.278,  rev: -0.081
2024/04/15 13:30:47 ID: 241, Data: 9C23AF00B2FFD9FF, Celsius: 35, A: +1.75, rev/s: -0.217,  rev: -0.108
2024/04/15 13:30:47 ID: 241, Data: 9C23FE0079FFCDFF, Celsius: 35, A: +2.54, rev/s: -0.375,  rev: -0.142
2024/04/15 13:30:47 ID: 241, Data: 9C232D01A9FFC2FF, Celsius: 35, A: +3.01, rev/s: -0.242,  rev: -0.172
2024/04/15 13:30:47 ID: 241, Data: 9C232401A4FFB9FF, Celsius: 35, A: +2.92, rev/s: -0.256,  rev: -0.197
2024/04/15 13:30:47 ID: 241, Data: 9C23680154FFACFF, Celsius: 35, A: +3.60, rev/s: -0.478,  rev: -0.233
2024/04/15 13:30:47 ID: 241, Data: 9C232B01A2FFA4FF, Celsius: 35, A: +2.99, rev/s: -0.261,  rev: -0.256
2024/04/15 13:30:47 ID: 241, Data: 9C23BB0059FF9BFF, Celsius: 35, A: +1.87, rev/s: -0.464,  rev: -0.281
2024/04/15 13:30:47 ID: 241, Data: 9C23AA00B1FF8EFF, Celsius: 35, A: +1.70, rev/s: -0.219,  rev: -0.317
2024/04/15 13:30:48 ID: 241, Data: 9C2333008FFF84FF, Celsius: 35, A: +0.51, rev/s: -0.314,  rev: -0.344
2024/04/15 13:30:48 ID: 241, Data: 9C23470033FF76FF, Celsius: 35, A: +0.71, rev/s: -0.569,  rev: -0.383
2024/04/15 13:30:48 ID: 241, Data: 9C233B00B8FF6AFF, Celsius: 35, A: +0.59, rev/s: -0.200,  rev: -0.417
2024/04/15 13:30:48 ID: 241, Data: 9C239C0024FF5EFF, Celsius: 35, A: +1.56, rev/s: -0.611,  rev: -0.450
2024/04/15 13:30:48 ID: 241, Data: 9C23BB00D8FF51FF, Celsius: 35, A: +1.87, rev/s: -0.111,  rev: -0.486
2024/04/15 13:30:48 ID: 241, Data: 9C23EF00B3FF49FF, Celsius: 35, A: +2.39, rev/s: -0.214,  rev: -0.508
2024/04/15 13:30:48 ID: 241, Data: 9C2335014DFF3DFF, Celsius: 35, A: +3.09, rev/s: -0.497,  rev: -0.542
2024/04/15 13:30:48 ID: 241, Data: 9C232301BFFF33FF, Celsius: 35, A: +2.91, rev/s: -0.181,  rev: -0.569
2024/04/15 13:30:48 ID: 241, Data: 9C23D800D1FF2BFF, Celsius: 35, A: +2.16, rev/s: -0.131,  rev: -0.592
2024/04/15 13:30:48 ID: 241, Data: 9C23910080FF21FF, Celsius: 35, A: +1.45, rev/s: -0.356,  rev: -0.619
2024/04/15 13:30:49 ID: 241, Data: 9C23670068FF14FF, Celsius: 35, A: +1.03, rev/s: -0.422,  rev: -0.656
2024/04/15 13:30:49 ID: 241, Data: 9C23D8FFE6FF0CFF, Celsius: 35, A: -0.40, rev/s: -0.072,  rev: -0.678
2024/04/15 13:30:49 ID: 241, Data: 9C231500B9FEFCFE, Celsius: 35, A: +0.21, rev/s: -0.908,  rev: -0.722
2024/04/15 13:30:49 ID: 241, Data: 9C23EDFFF5FFF2FE, Celsius: 35, A: -0.19, rev/s: -0.031,  rev: -0.750
