2024/04/15 13:48:52 ID: 241, Data: 9C2DE4FF9CFF2912, Celsius: 45, A: -0.28, rev/s: -0.278,  rev: +12.914
2024/04/15 13:48:53 ID: 241, Data: 9C2D96FFBBFF2012, Celsius: 45, A: -1.06, rev/s: -0.192,  rev: +12.889
2024/04/15 13:48:53 ID: 241, Data: 9C2D68FF56FF1412, Celsius: 45, A: -1.52, rev/s: -0.472,  rev: +12.856
2024/04/15 13:48:53 ID: 241, Data: 9C2DDEFE8AFF0912, Celsius: 45, A: -2.90, rev/s: -0.328,  rev: +12.825
2024/04/15 13:48:53 ID: 241, Data: 9C2D60FE97FFFF11, Celsius: 45, A: -4.16, rev/s: -0.292,  rev: +12.797
2024/04/15 13:48:53 ID: 241, Data: 9C2CE0FE2CFFED11, Celsius: 44, A: -2.88, rev/s: -0.589,  rev: +12.747
2024/04/15 13:48:53 ID: 241, Data: 9C2D8EFFEAFFE011, Celsius: 45, A: -1.14, rev/s: -0.061,  rev: +12.711
2024/04/15 13:48:53 ID: 241, Data: 9C2D6CFF5BFFDA11, Celsius: 45, A: -1.48, rev/s: -0.458,  rev: +12.694
2024/04/15 13:48:53 ID: 241, Data: 9C2D75FFBAFFCF11, Celsius: 45, A: -1.39, rev/s: -0.194,  rev: +12.664
2024/04/15 13:48:53 ID: 241, Data: 9C2D6CFF9EFFC611, Celsius: 45, A: -1.48, rev/s: -0.272,  rev: +12.639
2024/04/15 13:48:53 ID: 241, Data: 9C2D60FFE8FFB911, Celsius: 45, A: -1.60, rev/s: -0.067,  rev: +12.603
2024/04/15 13:48:54 ID: 241, Data: 9C2D1DFFD7FFB011, Celsius: 45, A: -2.27, rev/s: -0.114,  rev: +12.578
2024/04/15 13:48:54 ID: 241, Data: 9C2D15FF12FFA411, Celsius: 45, A: -2.35, rev/s: -0.661,  rev: +12.544
2024/04/15 13:48:54 ID: 241, Data: 9C2D77FE67FF9B11, Celsius: 45, A: -3.93, rev/s: -0.425,  rev: +12.519
2024/04/15 13:48:54 ID: 241, Data: 9C2DC3FDC7FF9111, Celsius: 45, A: -5.73, rev/s: -0.158,  rev: +12.492
2024/04/15 13:48:54 ID: 241, Data: 9C2DDDFD77FF8011, Celsius: 45, A: -5.47, rev/s: -0.381,  rev: +12.444
2024/04/15 13:48:54 ID: 241, Data: 9C2D8BFF8CFF6911, Celsius: 45, A: -1.17, rev/s: -0.322,  rev: +12.381
2024/04/15 13:48:54 ID: 241, Data: 9C2DB7FFFAFF6811, Celsius: 45, A: -0.73, rev/s: -0.017,  rev: +12.378
2024/04/15 13:48:54 ID: 241, Data: 9C2D8AFFFFFE6111, Celsius: 45, A: -1.18, rev/s: -0.714,  rev: +12.358
2024/04/15 13:48:54 ID: 241, Data: 9C2D90FFA0FF5611, Celsius: 45, A: -1.12, rev/s: -0.267,  rev: +12.328
2024/04/15 13:48:55 ID: 241, Data: 9C2DA6FFF0FE4B11, Celsius: 45, A: -0.90, rev/s: -0.756,  rev: +12.297
2024/04/15 13:48:55 ID: 241, Data: 9C2D58FFEFFF4111, Celsius: 45, A: -1.68, rev/s: -0.047,  rev: +12.269
2024/04/15 13:48:55 ID: 241, Data: 9C2DE5FECFFF3811, Celsius: 45, A: -2.83, rev/s: -0.136,  rev: +12.244
2024/04/15 13:48:55 ID: 241, Data: 9C2D9CFE3BFF2C11, Celsius: 45, A: -3.56, rev/s: -0.547,  rev: +12.211
2024/04/15 13:48:55 ID: 241, Data: 9C2DEAFDF6FF2111, Celsius: 45, A: -5.34, rev/s: -0.028,  rev: +12.181
2024/04/15 13:48:55 ID: 241, Data: 9C2D9CFDA1FF1611, Celsius: 45, A: -6.12, rev/s: -0.264,  rev: +12.150
2024/04/15 13:48:55 ID: 241, Data: 9C2DF4FD17FF0611, Celsius: 45, A: -5.24, rev/s: -0.647,  rev: +12.106
2024/04/15 13:48:55 ID: 241, Data: 9C2D7FFF84FFF010, Celsius: 45, A: -1.29, rev/s: -0.344,  rev: +12.044
2024/04/15 13:48:55 ID: 241, Data: 9C2D8EFFE5FFEF10, Celsius: 45, A: -1.14, rev/s: -0.075,  rev: +12.042
2024/04/15 13:48:55 ID: 241, Data: 9C2D4FFF7FFFE710, Celsius: 45, A: -1.77, rev/s: -0.358,  rev: +12.019
2024/04/15 13:48:56 ID: 241, Data: 9C2DA7FF16FFDB10, Celsius: 45, A: -0.89, rev/s: -0.650,  rev: +11.986
2024/04/15 13:48:56 ID: 241, Data: 9C2D7AFFAAFFD010, Celsius: 45, A: -1.34, rev/s: -0.239,  rev: +11.956
2024/04/15 13:48:56 ID: 241, Data: 9C2D58FFCCFFC810, Celsius: 45, A: -1.68, rev/s: -0.144,  rev: +11.933
2024/04/15 13:48:56 ID: 241, Data: 9C2D0DFF8AFFBE10, Celsius: 45, A: -2.43, rev/s: -0.328,  rev: +11.906
