2024/04/15 13:59:45 ID: 241, Data: 9C2DC1FF77000300, Celsius: 45, A: -0.63, rev/s: +0.331,  rev: +0.008
2024/04/15 13:59:46 ID: 241, Data: 9C2DB4FFAE001400, Celsius: 45, A: -0.76, rev/s: +0.483,  rev: +0.056
2024/04/15 13:59:46 ID: 241, Data: 9C2D10000A012D00, Celsius: 45, A: +0.16, rev/s: +0.739,  rev: +0.125
2024/04/15 13:59:46 ID: 241, Data: 9C2D0D0079015200, Celsius: 45, A: +0.13, rev/s: +1.047,  rev: +0.228
2024/04/15 13:59:46 ID: 241, Data: 9C2D110064017800, Celsius: 45, A: +0.17, rev/s: +0.989,  rev: +0.333
2024/04/15 13:59:46 ID: 241, Data: 9C2D0F006A019D00, Celsius: 45, A: +0.15, rev/s: +1.006,  rev: +0.436
2024/04/15 13:59:46 ID: 241, Data: 9C2D0A007101C200, Celsius: 45, A: +0.10, rev/s: +1.025,  rev: +0.539
2024/04/15 13:59:46 ID: 241, Data: 9C2D11006A01E700, Celsius: 45, A: +0.17, rev/s: +1.006,  rev: +0.642
2024/04/15 13:59:46 ID: 241, Data: 9C2D0B008F010C01, Celsius: 45, A: +0.11, rev/s: +1.108,  rev: +0.744
2024/04/15 13:59:46 ID: 241, Data: 9C2D0A0068013101, Celsius: 45, A: +0.10, rev/s: +1.000,  rev: +0.847
2024/04/15 13:59:46 ID: 241, Data: 9C2D1B0057015601, Celsius: 45, A: +0.27, rev/s: +0.953,  rev: +0.950
2024/04/15 13:59:47 ID: 241, Data: 9C2D140075017B01, Celsius: 45, A: +0.20, rev/s: +1.036,  rev: +1.053
2024/04/15 13:59:47 ID: 241, Data: 9C2D1C00EA00A001, Celsius: 45, A: +0.28, rev/s: +0.650,  rev: +1.156
2024/04/15 13:59:47 ID: 241, Data: 9C2D10007401C501, Celsius: 45, A: +0.16, rev/s: +1.033,  rev: +1.258
2024/04/15 13:59:47 ID: 241, Data: 9C2D0A009301EA01, Celsius: 45, A: +0.10, rev/s: +1.119,  rev: +1.361
2024/04/15 13:59:47 ID: 241, Data: 9C2D0B006D010F02, Celsius: 45, A: +0.11, rev/s: +1.014,  rev: +1.464
2024/04/15 13:59:47 ID: 241, Data: 9C2D11009C013402, Celsius: 45, A: +0.17, rev/s: +1.144,  rev: +1.567
2024/04/15 13:59:47 ID: 241, Data: 9C2D0F0085015902, Celsius: 45, A: +0.15, rev/s: +1.081,  rev: +1.669
2024/04/15 13:59:47 ID: 241, Data: 9C2D1A0057017D02, Celsius: 45, A: +0.26, rev/s: +0.953,  rev: +1.769
2024/04/15 13:59:47 ID: 241, Data: 9C2D5C0332008902, Celsius: 45, A: +8.60, rev/s: +0.139,  rev: +1.803
2024/04/15 13:59:48 ID: 241, Data: 9C2D4E03FAFF8A02, Celsius: 45, A: +8.46, rev/s: -0.017,  rev: +1.806
2024/04/15 13:59:48 ID: 241, Data: 9C2D43030E008B02, Celsius: 45, A: +8.35, rev/s: +0.039,  rev: +1.808
2024/04/15 13:59:48 ID: 241, Data: 9C2D4703FBFF8B02, Celsius: 45, A: +8.39, rev/s: -0.014,  rev: +1.808
2024/04/15 13:59:48 ID: 241, Data: 9C2D5B0311008C02, Celsius: 45, A: +8.59, rev/s: +0.047,  rev: +1.811
2024/04/15 13:59:48 ID: 241, Data: 9C2D53030D008E02, Celsius: 45, A: +8.51, rev/s: +0.036,  rev: +1.817
2024/04/15 13:59:48 ID: 241, Data: 9C2D4603F8FF8E02, Celsius: 45, A: +8.38, rev/s: -0.022,  rev: +1.817
2024/04/15 13:59:48 ID: 241, Data: 9C2D400317008E02, Celsius: 45, A: +8.32, rev/s: +0.064,  rev: +1.817
2024/04/15 13:59:48 ID: 241, Data: 9C2D3C0304008E02, Celsius: 45, A: +8.28, rev/s: +0.011,  rev: +1.817
2024/04/15 13:59:48 ID: 241, Data: 9C2D3B03EEFF8E02, Celsius: 45, A: +8.27, rev/s: -0.050,  rev: +1.817
2024/04/15 13:59:48 ID: 241, Data: 9C2E360308008F02, Celsius: 46, A: +8.22, rev/s: +0.022,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E310309008F02, Celsius: 46, A: +8.17, rev/s: +0.025,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E300306008F02, Celsius: 46, A: +8.16, rev/s: +0.017,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E2E03FCFF8F02, Celsius: 46, A: +8.14, rev/s: -0.011,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E300302008F02, Celsius: 46, A: +8.16, rev/s: +0.006,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E2B03ECFF8F02, Celsius: 46, A: +8.11, rev/s: -0.056,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E2B0303008F02, Celsius: 46, A: +8.11, rev/s: +0.008,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E290307008F02, Celsius: 46, A: +8.09, rev/s: +0.019,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E280308008F02, Celsius: 46, A: +8.08, rev/s: +0.022,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E2903F0FF8F02, Celsius: 46, A: +8.09, rev/s: -0.044,  rev: +1.819
2024/04/15 13:59:49 ID: 241, Data: 9C2E250300008F02, Celsius: 46, A: +8.05, rev/s: +0.000,  rev: +1.819
2024/04/15 13:59:50 ID: 241, Data: 9C2E2403FDFF8F02, Celsius: 46, A: +8.04, rev/s: -0.008,  rev: +1.819
2024/04/15 13:59:50 ID: 241, Data: 9C2E260300008F02, Celsius: 46, A: +8.06, rev/s: +0.000,  rev: +1.819
