2024/04/15 14:49:20 ID: 241, Data: 9C32CB02F2FF7D09, Celsius: 50, A: +7.15, rev/s: -0.039,  rev: +6.747
2024/04/15 14:49:21 ID: 241, Data: 9C31CA0203007D09, Celsius: 49, A: +7.14, rev/s: +0.008,  rev: +6.747
2024/04/15 14:49:21 ID: 241, Data: 9C32CA02FDFF7D09, Celsius: 50, A: +7.14, rev/s: -0.008,  rev: +6.747
2024/04/15 14:49:21 ID: 241, Data: 9C32EAFF1BFE6C09, Celsius: 50, A: -0.22, rev/s: -1.347,  rev: +6.700
2024/04/15 14:49:21 ID: 241, Data: 9C32E5FF47FF5009, Celsius: 50, A: -0.27, rev/s: -0.514,  rev: +6.622
2024/04/15 14:49:21 ID: 241, Data: 9C32F7FF47FF4009, Celsius: 50, A: -0.09, rev/s: -0.514,  rev: +6.578
2024/04/15 14:49:21 ID: 241, Data: 9C32C9FFB3FF3609, Celsius: 50, A: -0.55, rev/s: -0.214,  rev: +6.550
2024/04/15 14:49:21 ID: 241, Data: 9C32F3FF2EFF2909, Celsius: 50, A: -0.13, rev/s: -0.583,  rev: +6.514
2024/04/15 14:49:21 ID: 241, Data: 9C32D1FFC1FF1F09, Celsius: 50, A: -0.47, rev/s: -0.175,  rev: +6.486
2024/04/15 14:49:21 ID: 241, Data: 9C32E9FF52FF1409, Celsius: 50, A: -0.23, rev/s: -0.483,  rev: +6.456
2024/04/15 14:49:21 ID: 241, Data: 9C32D4FFD0FF0909, Celsius: 50, A: -0.44, rev/s: -0.133,  rev: +6.425
2024/04/15 14:49:22 ID: 241, Data: 9C32DEFFD2FFFE08, Celsius: 50, A: -0.34, rev/s: -0.128,  rev: +6.394
2024/04/15 14:49:22 ID: 241, Data: 9C32F9FF72FFF208, Celsius: 50, A: -0.07, rev/s: -0.394,  rev: +6.361
2024/04/15 14:49:22 ID: 241, Data: 9C32D0FFDDFFE708, Celsius: 50, A: -0.48, rev/s: -0.097,  rev: +6.331
2024/04/15 14:49:22 ID: 241, Data: 9C32CCFF52FFDE08, Celsius: 50, A: -0.52, rev/s: -0.483,  rev: +6.306
2024/04/15 14:49:22 ID: 241, Data: 9C32E7FF2EFFD008, Celsius: 50, A: -0.25, rev/s: -0.583,  rev: +6.267
2024/04/15 14:49:22 ID: 241, Data: 9C32AAFFE0FFC808, Celsius: 50, A: -0.86, rev/s: -0.089,  rev: +6.244
2024/04/15 14:49:22 ID: 241, Data: 9C32E5FFF1FEBB08, Celsius: 50, A: -0.27, rev/s: -0.753,  rev: +6.208
2024/04/15 14:49:22 ID: 241, Data: 9C32BEFFDAFFAF08, Celsius: 50, A: -0.66, rev/s: -0.106,  rev: +6.175
2024/04/15 14:49:22 ID: 241, Data: 9C32BFFFC9FFA608, Celsius: 50, A: -0.65, rev/s: -0.153,  rev: +6.150
2024/04/15 14:49:23 ID: 241, Data: 9C32F1FF6FFF9808, Celsius: 50, A: -0.15, rev/s: -0.403,  rev: +6.111
2024/04/15 14:49:23 ID: 241, Data: 9C32CBFFDBFF8F08, Celsius: 50, A: -0.53, rev/s: -0.103,  rev: +6.086
2024/04/15 14:49:23 ID: 241, Data: 9C32DAFF68FF8508, Celsius: 50, A: -0.38, rev/s: -0.422,  rev: +6.058
2024/04/15 14:49:23 ID: 241, Data: 9C33E4FFB1FF7808, Celsius: 51, A: -0.28, rev/s: -0.219,  rev: +6.022
