2024/04/15 15:11:54 ID: 241, Data: 9C27A20053000A07, Celsius: 39, A: +1.62, rev/s: +0.231,  rev: +5.006
2024/04/15 15:11:55 ID: 241, Data: 9C2725010A001507, Celsius: 39, A: +2.93, rev/s: +0.028,  rev: +5.036
2024/04/15 15:11:55 ID: 241, Data: 9C27C6012C001D07, Celsius: 39, A: +4.54, rev/s: +0.122,  rev: +5.058
2024/04/15 15:11:55 ID: 241, Data: 9C27A60270002707, Celsius: 39, A: +6.78, rev/s: +0.311,  rev: +5.086
2024/04/15 15:11:55 ID: 241, Data: 9C27ED02EF003207, Celsius: 39, A: +7.49, rev/s: +0.664,  rev: +5.117
2024/04/15 15:11:55 ID: 241, Data: 9C26600308003607, Celsius: 38, A: +8.64, rev/s: +0.022,  rev: +5.128
2024/04/15 15:11:55 ID: 241, Data: 9C276203EBFF3607, Celsius: 39, A: +8.66, rev/s: -0.058,  rev: +5.128
2024/04/15 15:11:55 ID: 241, Data: 9C275F0302003607, Celsius: 39, A: +8.63, rev/s: +0.006,  rev: +5.128
2024/04/15 15:11:55 ID: 241, Data: 9C276103EEFF3607, Celsius: 39, A: +8.65, rev/s: -0.050,  rev: +5.128
2024/04/15 15:11:55 ID: 241, Data: 9C27600304003707, Celsius: 39, A: +8.64, rev/s: +0.011,  rev: +5.131
2024/04/15 15:11:55 ID: 241, Data: 9C276003E3FF3707, Celsius: 39, A: +8.64, rev/s: -0.081,  rev: +5.131
2024/04/15 15:11:56 ID: 241, Data: 9C275F0303003707, Celsius: 39, A: +8.63, rev/s: +0.008,  rev: +5.131
2024/04/15 15:11:56 ID: 241, Data: 9C275D0303003707, Celsius: 39, A: +8.61, rev/s: +0.008,  rev: +5.131
2024/04/15 15:11:56 ID: 241, Data: 9C285C030A003707, Celsius: 40, A: +8.60, rev/s: +0.028,  rev: +5.131
2024/04/15 15:11:56 ID: 241, Data: 9C285B03F0FF3707, Celsius: 40, A: +8.59, rev/s: -0.044,  rev: +5.131
2024/04/15 15:11:56 ID: 241, Data: 9C285C0323003707, Celsius: 40, A: +8.60, rev/s: +0.097,  rev: +5.131
