2024/04/15 15:22:00 ID: 241, Data: 9C24D40042000907, Celsius: 36, A: +2.12, rev/s: +0.183,  rev: +5.003
2024/04/15 15:22:00 ID: 241, Data: 9C248B0133001407, Celsius: 36, A: +3.95, rev/s: +0.142,  rev: +5.033
2024/04/15 15:22:00 ID: 241, Data: 9C24290241001D07, Celsius: 36, A: +5.53, rev/s: +0.181,  rev: +5.058
2024/04/15 15:22:00 ID: 241, Data: 9C24270359002707, Celsius: 36, A: +8.07, rev/s: +0.247,  rev: +5.086
2024/04/15 15:22:00 ID: 241, Data: 9C245903F6FF2E07, Celsius: 36, A: +8.57, rev/s: -0.028,  rev: +5.106
2024/04/15 15:22:00 ID: 241, Data: 9C245D03EAFF2E07, Celsius: 36, A: +8.61, rev/s: -0.061,  rev: +5.106
2024/04/15 15:22:00 ID: 241, Data: 9C2459030B002E07, Celsius: 36, A: +8.57, rev/s: +0.031,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C24580308002E07, Celsius: 36, A: +8.56, rev/s: +0.022,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C245603F7FF2E07, Celsius: 36, A: +8.54, rev/s: -0.025,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C245503F7FF2E07, Celsius: 36, A: +8.53, rev/s: -0.025,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C245403FDFF2E07, Celsius: 36, A: +8.52, rev/s: -0.008,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C245203FDFF2E07, Celsius: 36, A: +8.50, rev/s: -0.008,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C245103F8FF2E07, Celsius: 36, A: +8.49, rev/s: -0.022,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C24520304002E07, Celsius: 36, A: +8.50, rev/s: +0.011,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C244F0300002E07, Celsius: 36, A: +8.47, rev/s: +0.000,  rev: +5.106
2024/04/15 15:22:01 ID: 241, Data: 9C244D0300002E07, Celsius: 36, A: +8.45, rev/s: +0.000,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C244D0314002E07, Celsius: 36, A: +8.45, rev/s: +0.056,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C244D03F5FF2E07, Celsius: 36, A: +8.45, rev/s: -0.031,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C244B03FEFF2E07, Celsius: 36, A: +8.43, rev/s: -0.006,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C244A0300002E07, Celsius: 36, A: +8.42, rev/s: +0.000,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C24490317002E07, Celsius: 36, A: +8.41, rev/s: +0.064,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C254903DFFF2E07, Celsius: 37, A: +8.41, rev/s: -0.092,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C2547030E002E07, Celsius: 37, A: +8.39, rev/s: +0.039,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C254703FFFF2E07, Celsius: 37, A: +8.39, rev/s: -0.003,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C24460307002E07, Celsius: 36, A: +8.38, rev/s: +0.019,  rev: +5.106
2024/04/15 15:22:02 ID: 241, Data: 9C244503F2FF2E07, Celsius: 36, A: +8.37, rev/s: -0.039,  rev: +5.106
2024/04/15 15:22:03 ID: 241, Data: 9C24410314002E07, Celsius: 36, A: +8.33, rev/s: +0.056,  rev: +5.106
2024/04/15 15:22:03 ID: 241, Data: 9C2443030A002E07, Celsius: 36, A: +8.35, rev/s: +0.028,  rev: +5.106
2024/04/15 15:22:03 ID: 241, Data: 9C254103F5FF2E07, Celsius: 37, A: +8.33, rev/s: -0.031,  rev: +5.106
2024/04/15 15:22:03 ID: 241, Data: 9C254203E6FF2E07, Celsius: 37, A: +8.34, rev/s: -0.072,  rev: +5.106
2024/04/15 15:22:03 ID: 241, Data: 9C243E0303002F07, Celsius: 36, A: +8.30, rev/s: +0.008,  rev: +5.108
2024/04/15 15:22:03 ID: 241, Data: 9C254D03FCFF2F07, Celsius: 37, A: +8.45, rev/s: -0.011,  rev: +5.108
2024/04/15 15:22:03 ID: 241, Data: 9C25500317002F07, Celsius: 37, A: +8.48, rev/s: +0.064,  rev: +5.108
2024/04/15 15:22:03 ID: 241, Data: 9C245603EDFF2F07, Celsius: 36, A: +8.54, rev/s: -0.053,  rev: +5.108
2024/04/15 15:22:03 ID: 241, Data: 9C25580319002F07, Celsius: 37, A: +8.56, rev/s: +0.069,  rev: +5.108
2024/04/15 15:22:03 ID: 241, Data: 9C255F0309003007, Celsius: 37, A: +8.63, rev/s: +0.025,  rev: +5.111
2024/04/15 15:22:04 ID: 241, Data: 9C25610308003007, Celsius: 37, A: +8.65, rev/s: +0.022,  rev: +5.111
2024/04/15 15:22:04 ID: 241, Data: 9C257D0327003007, Celsius: 37, A: +8.93, rev/s: +0.108,  rev: +5.111
2024/04/15 15:22:04 ID: 241, Data: 9C25350306003307, Celsius: 37, A: +8.21, rev/s: +0.017,  rev: +5.119
2024/04/15 15:22:04 ID: 241, Data: 9C25390315003307, Celsius: 37, A: +8.25, rev/s: +0.058,  rev: +5.119
2024/04/15 15:22:04 ID: 241, Data: 9C253B03F0FF3307, Celsius: 37, A: +8.27, rev/s: -0.044,  rev: +5.119
2024/04/15 15:22:04 ID: 241, Data: 9C253B0312003307, Celsius: 37, A: +8.27, rev/s: +0.050,  rev: +5.119
2024/04/15 15:22:04 ID: 241, Data: 9C253B030E003307, Celsius: 37, A: +8.27, rev/s: +0.039,  rev: +5.119
2024/04/15 15:22:04 ID: 241, Data: 9C253D0302003307, Celsius: 37, A: +8.29, rev/s: +0.006,  rev: +5.119
2024/04/15 15:22:04 ID: 241, Data: 9C253D03FEFF3307, Celsius: 37, A: +8.29, rev/s: -0.006,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C253F03FFFF3307, Celsius: 37, A: +8.31, rev/s: -0.003,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C263D03EAFF3307, Celsius: 38, A: +8.29, rev/s: -0.061,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C263D03FDFF3307, Celsius: 38, A: +8.29, rev/s: -0.008,  rev: +5.119
2024/04/15 15:22:05 ID: 241, Data: 9C263C031D003307, Celsius: 38, A: +8.28, rev/s: +0.081,  rev: +5.119
