2024/04/15 15:32:23 ID: 241, Data: 9C26C00049000907, Celsius: 38, A: +1.92, rev/s: +0.203,  rev: +5.003
2024/04/15 15:32:23 ID: 241, Data: 9C267E017E001707, Celsius: 38, A: +3.82, rev/s: +0.350,  rev: +5.042
2024/04/15 15:32:23 ID: 241, Data: 9C26010309012C07, Celsius: 38, A: +7.69, rev/s: +0.736,  rev: +5.100
2024/04/15 15:32:23 ID: 241, Data: 9C2650030F003C07, Celsius: 38, A: +8.48, rev/s: +0.042,  rev: +5.144
2024/04/15 15:32:23 ID: 241, Data: 9C263403FAFF3F07, Celsius: 38, A: +8.20, rev/s: -0.017,  rev: +5.153
2024/04/15 15:32:23 ID: 241, Data: 9C263303FFFF3F07, Celsius: 38, A: +8.19, rev/s: -0.003,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C26340302003F07, Celsius: 38, A: +8.20, rev/s: +0.006,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C263403E9FF3F07, Celsius: 38, A: +8.20, rev/s: -0.064,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C263603E9FF3F07, Celsius: 38, A: +8.22, rev/s: -0.064,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C263303E2FF3F07, Celsius: 38, A: +8.19, rev/s: -0.083,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C263203FEFF3F07, Celsius: 38, A: +8.18, rev/s: -0.006,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C263303F1FF3F07, Celsius: 38, A: +8.19, rev/s: -0.042,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C273003EEFF3F07, Celsius: 39, A: +8.16, rev/s: -0.050,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C273003E6FF3F07, Celsius: 39, A: +8.16, rev/s: -0.072,  rev: +5.153
2024/04/15 15:32:24 ID: 241, Data: 9C272E03FEFF4007, Celsius: 39, A: +8.14, rev/s: -0.006,  rev: +5.156
2024/04/15 15:32:24 ID: 241, Data: 9C272F03F9FF4007, Celsius: 39, A: +8.15, rev/s: -0.019,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C282E0306004007, Celsius: 40, A: +8.14, rev/s: +0.017,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C282E0300004007, Celsius: 40, A: +8.14, rev/s: +0.000,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C282B03FEFF4007, Celsius: 40, A: +8.11, rev/s: -0.006,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C292B031B004007, Celsius: 41, A: +8.11, rev/s: +0.075,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C292B03EDFF4007, Celsius: 41, A: +8.11, rev/s: -0.053,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C2928030C004007, Celsius: 41, A: +8.08, rev/s: +0.033,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C2928030B004007, Celsius: 41, A: +8.08, rev/s: +0.031,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C2A2803ECFF4007, Celsius: 42, A: +8.08, rev/s: -0.056,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C2A260312004007, Celsius: 42, A: +8.06, rev/s: +0.050,  rev: +5.156
2024/04/15 15:32:25 ID: 241, Data: 9C2A2703E6FF4007, Celsius: 42, A: +8.07, rev/s: -0.072,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2A2603F5FF4007, Celsius: 42, A: +8.06, rev/s: -0.031,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2B2503EFFF4007, Celsius: 43, A: +8.05, rev/s: -0.047,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2B2403FCFF4007, Celsius: 43, A: +8.04, rev/s: -0.011,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2B2103E8FF4007, Celsius: 43, A: +8.01, rev/s: -0.067,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2C2103FDFF4007, Celsius: 44, A: +8.01, rev/s: -0.008,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2C2203F8FF4007, Celsius: 44, A: +8.02, rev/s: -0.022,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2C200307004007, Celsius: 44, A: +8.00, rev/s: +0.019,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2D1F03F8FF4007, Celsius: 45, A: +7.99, rev/s: -0.022,  rev: +5.156
2024/04/15 15:32:26 ID: 241, Data: 9C2D1F03F6FF4007, Celsius: 45, A: +7.99, rev/s: -0.028,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C2D1E030B004007, Celsius: 45, A: +7.98, rev/s: +0.031,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C2E1F03FCFF4007, Celsius: 46, A: +7.99, rev/s: -0.011,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C2E1D030D004007, Celsius: 46, A: +7.97, rev/s: +0.036,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C2F1D0300004007, Celsius: 47, A: +7.97, rev/s: +0.000,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C2F1C0316004007, Celsius: 47, A: +7.96, rev/s: +0.061,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C2F1A0309004007, Celsius: 47, A: +7.94, rev/s: +0.025,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C2F190303004007, Celsius: 47, A: +7.93, rev/s: +0.008,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C301903FCFF4007, Celsius: 48, A: +7.93, rev/s: -0.011,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C3019030B004007, Celsius: 48, A: +7.93, rev/s: +0.031,  rev: +5.156
2024/04/15 15:32:27 ID: 241, Data: 9C3017030C004007, Celsius: 48, A: +7.91, rev/s: +0.033,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C311803FCFF4007, Celsius: 49, A: +7.92, rev/s: -0.011,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C31170310004007, Celsius: 49, A: +7.91, rev/s: +0.044,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C311703EBFF4007, Celsius: 49, A: +7.91, rev/s: -0.058,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C32130301004007, Celsius: 50, A: +7.87, rev/s: +0.003,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C32130300004007, Celsius: 50, A: +7.87, rev/s: +0.000,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C3213030B004007, Celsius: 50, A: +7.87, rev/s: +0.031,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C33130301004007, Celsius: 51, A: +7.87, rev/s: +0.003,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C331403F6FF4007, Celsius: 51, A: +7.88, rev/s: -0.028,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C331403EEFF4007, Celsius: 51, A: +7.88, rev/s: -0.050,  rev: +5.156
2024/04/15 15:32:28 ID: 241, Data: 9C341203FCFF4007, Celsius: 52, A: +7.86, rev/s: -0.011,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C341203FBFF4007, Celsius: 52, A: +7.86, rev/s: -0.014,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C340F0312004007, Celsius: 52, A: +7.83, rev/s: +0.050,  rev: +5.156
2024/04/15 15:32:29 ID: 241, Data: 9C3512030D004007, Celsius: 53, A: +7.86, rev/s: +0.036,  rev: +5.156
