2024/04/15 15:36:30 ID: 241, Data: 9C26A60068000A07, Celsius: 38, A: +1.66, rev/s: +0.289,  rev: +5.006
2024/04/15 15:36:30 ID: 241, Data: 9C268E0138001607, Celsius: 38, A: +3.98, rev/s: +0.156,  rev: +5.039
2024/04/15 15:36:30 ID: 241, Data: 9C26C30274012C07, Celsius: 38, A: +7.07, rev/s: +1.033,  rev: +5.100
2024/04/15 15:36:30 ID: 241, Data: 9C264D0314003C07, Celsius: 38, A: +8.45, rev/s: +0.056,  rev: +5.144
2024/04/15 15:36:31 ID: 241, Data: 9C26370301003F07, Celsius: 38, A: +8.23, rev/s: +0.003,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C26350312003F07, Celsius: 38, A: +8.21, rev/s: +0.050,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C2633030F003F07, Celsius: 38, A: +8.19, rev/s: +0.042,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C26340321003F07, Celsius: 38, A: +8.20, rev/s: +0.092,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C263203E7FF3F07, Celsius: 38, A: +8.18, rev/s: -0.069,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C263203FEFF3F07, Celsius: 38, A: +8.18, rev/s: -0.006,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C263003E6FF3F07, Celsius: 38, A: +8.16, rev/s: -0.072,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C262E03F4FF3F07, Celsius: 38, A: +8.14, rev/s: -0.033,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C262F03F9FF3F07, Celsius: 38, A: +8.15, rev/s: -0.019,  rev: +5.153
2024/04/15 15:36:31 ID: 241, Data: 9C262F0315003F07, Celsius: 38, A: +8.15, rev/s: +0.058,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C272C0301003F07, Celsius: 39, A: +8.12, rev/s: +0.003,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C272B0308003F07, Celsius: 39, A: +8.11, rev/s: +0.022,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C27290305003F07, Celsius: 39, A: +8.09, rev/s: +0.014,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C272603FFFF3F07, Celsius: 39, A: +8.06, rev/s: -0.003,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C272703EAFF3F07, Celsius: 39, A: +8.07, rev/s: -0.061,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C27250314003F07, Celsius: 39, A: +8.05, rev/s: +0.056,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C28250315003F07, Celsius: 40, A: +8.05, rev/s: +0.058,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C2825030D003F07, Celsius: 40, A: +8.05, rev/s: +0.036,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C292403E9FF3F07, Celsius: 41, A: +8.04, rev/s: -0.064,  rev: +5.153
2024/04/15 15:36:32 ID: 241, Data: 9C292403F7FF3F07, Celsius: 41, A: +8.04, rev/s: -0.025,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C29210313003F07, Celsius: 41, A: +8.01, rev/s: +0.053,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C29210311003F07, Celsius: 41, A: +8.01, rev/s: +0.047,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C2A210308003F07, Celsius: 42, A: +8.01, rev/s: +0.022,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C2A1F030E003F07, Celsius: 42, A: +7.99, rev/s: +0.039,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C2A1D0307003F07, Celsius: 42, A: +7.97, rev/s: +0.019,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C2A1E0317003F07, Celsius: 42, A: +7.98, rev/s: +0.064,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C2A1C030E003F07, Celsius: 42, A: +7.96, rev/s: +0.039,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C2B1D03FEFF3F07, Celsius: 43, A: +7.97, rev/s: -0.006,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C2B1C030B003F07, Celsius: 43, A: +7.96, rev/s: +0.031,  rev: +5.153
2024/04/15 15:36:33 ID: 241, Data: 9C2B1A03F1FF3F07, Celsius: 43, A: +7.94, rev/s: -0.042,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2B1A0304003F07, Celsius: 43, A: +7.94, rev/s: +0.011,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2C170311003F07, Celsius: 44, A: +7.91, rev/s: +0.047,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2C1803F5FF3F07, Celsius: 44, A: +7.92, rev/s: -0.031,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2C150301003F07, Celsius: 44, A: +7.89, rev/s: +0.003,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2C1503FBFF3F07, Celsius: 44, A: +7.89, rev/s: -0.014,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2D160303003F07, Celsius: 45, A: +7.90, rev/s: +0.008,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2D140305003F07, Celsius: 45, A: +7.88, rev/s: +0.014,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2D1303F2FF3F07, Celsius: 45, A: +7.87, rev/s: -0.039,  rev: +5.153
2024/04/15 15:36:34 ID: 241, Data: 9C2E120318003F07, Celsius: 46, A: +7.86, rev/s: +0.067,  rev: +5.153
2024/04/15 15:36:35 ID: 241, Data: 9C2E1303FEFF3F07, Celsius: 46, A: +7.87, rev/s: -0.006,  rev: +5.153
2024/04/15 15:36:35 ID: 241, Data: 9C2E1203DEFF3F07, Celsius: 46, A: +7.86, rev/s: -0.094,  rev: +5.153
2024/04/15 15:36:35 ID: 241, Data: 9C2E1303D6FF3F07, Celsius: 46, A: +7.87, rev/s: -0.117,  rev: +5.153
2024/04/15 15:36:35 ID: 241, Data: 9C2F1103FEFF3F07, Celsius: 47, A: +7.85, rev/s: -0.006,  rev: +5.153
2024/04/15 15:36:35 ID: 241, Data: 9C2F0E03F9FF3F07, Celsius: 47, A: +7.82, rev/s: -0.019,  rev: +5.153
2024/04/15 15:36:35 ID: 241, Data: 9C2F0E0319003F07, Celsius: 47, A: +7.82, rev/s: +0.069,  rev: +5.153
2024/04/15 15:36:35 ID: 241, Data: 9C300A0300003F07, Celsius: 48, A: +7.78, rev/s: +0.000,  rev: +5.153
2024/04/15 15:36:35 ID: 241, Data: 9C303A0300004307, Celsius: 48, A: +8.26, rev/s: +0.000,  rev: +5.164
2024/04/15 15:36:35 ID: 241, Data: 9C30CD0220015107, Celsius: 48, A: +7.17, rev/s: +0.800,  rev: +5.203
2024/04/15 15:36:35 ID: 241, Data: 9C306C029402A507, Celsius: 48, A: +6.20, rev/s: +1.833,  rev: +5.436
2024/04/15 15:36:36 ID: 241, Data: 9C315B02F101D107, Celsius: 49, A: +6.03, rev/s: +1.381,  rev: +5.558
2024/04/15 15:36:36 ID: 241, Data: 9C31FE021A012508, Celsius: 49, A: +7.66, rev/s: +0.783,  rev: +5.792
2024/04/15 15:36:36 ID: 241, Data: 9C31FC02A8003D08, Celsius: 49, A: +7.64, rev/s: +0.467,  rev: +5.858
2024/04/15 15:36:36 ID: 241, Data: 9C3106012D057408, Celsius: 49, A: +2.62, rev/s: +3.681,  rev: +6.011
2024/04/15 15:36:36 ID: 241, Data: 9C31EE022401B608, Celsius: 49, A: +7.50, rev/s: +0.811,  rev: +6.194
2024/04/15 15:36:36 ID: 241, Data: 9C32BA025E021509, Celsius: 50, A: +6.98, rev/s: +1.683,  rev: +6.458
2024/04/15 15:36:36 ID: 241, Data: 9C32B50103044D09, Celsius: 50, A: +4.37, rev/s: +2.853,  rev: +6.614
2024/04/15 15:36:36 ID: 241, Data: 9C32A902F3009C09, Celsius: 50, A: +6.81, rev/s: +0.675,  rev: +6.833
2024/04/15 15:36:36 ID: 241, Data: 9C323B033401AF09, Celsius: 50, A: +8.27, rev/s: +0.856,  rev: +6.886
2024/04/15 15:36:36 ID: 241, Data: 9C32A302DC01F909, Celsius: 50, A: +6.75, rev/s: +1.322,  rev: +7.092
2024/04/15 15:36:37 ID: 241, Data: 9C33B5020102230A, Celsius: 51, A: +6.93, rev/s: +1.425,  rev: +7.208
2024/04/15 15:36:37 ID: 241, Data: 9C33AB0263027D0A, Celsius: 51, A: +6.83, rev/s: +1.697,  rev: +7.458
2024/04/15 15:36:37 ID: 241, Data: 9C3350023E02AB0A, Celsius: 51, A: +5.92, rev/s: +1.594,  rev: +7.586
2024/04/15 15:36:37 ID: 241, Data: 9C334002FB01040B, Celsius: 51, A: +5.76, rev/s: +1.408,  rev: +7.833
2024/04/15 15:36:37 ID: 241, Data: 9C33D301E603630B, Celsius: 51, A: +4.67, rev/s: +2.772,  rev: +8.097
2024/04/15 15:36:37 ID: 241, Data: 9C33AC018A039F0B, Celsius: 51, A: +4.28, rev/s: +2.517,  rev: +8.264
2024/04/15 15:36:37 ID: 241, Data: 9C33D3028501F60B, Celsius: 51, A: +7.23, rev/s: +1.081,  rev: +8.506
2024/04/15 15:36:37 ID: 241, Data: 9C3422014B053E0C, Celsius: 52, A: +2.90, rev/s: +3.764,  rev: +8.706
2024/04/15 15:36:37 ID: 241, Data: 9C348402E901750C, Celsius: 52, A: +6.44, rev/s: +1.358,  rev: +8.858
2024/04/15 15:36:37 ID: 241, Data: 9C34BB02C301D60C, Celsius: 52, A: +6.99, rev/s: +1.253,  rev: +9.128
2024/04/15 15:36:38 ID: 241, Data: 9C349E01D8030C0D, Celsius: 52, A: +4.14, rev/s: +2.733,  rev: +9.278
2024/04/15 15:36:38 ID: 241, Data: 9C344B02C901600D, Celsius: 52, A: +5.87, rev/s: +1.269,  rev: +9.511
2024/04/15 15:36:38 ID: 241, Data: 9C34EC01F602BF0D, Celsius: 52, A: +4.92, rev/s: +2.106,  rev: +9.775
2024/04/15 15:36:38 ID: 241, Data: 9C34F7009405090E, Celsius: 52, A: +2.47, rev/s: +3.967,  rev: +9.981
2024/04/15 15:36:38 ID: 241, Data: 9C3446033C004C0E, Celsius: 52, A: +8.38, rev/s: +0.167,  rev: +10.167
2024/04/15 15:36:38 ID: 241, Data: 9C3400032B01630E, Celsius: 52, A: +7.68, rev/s: +0.831,  rev: +10.231
2024/04/15 15:36:38 ID: 241, Data: 9C3464025602AB0E, Celsius: 52, A: +6.12, rev/s: +1.661,  rev: +10.431
2024/04/15 15:36:38 ID: 241, Data: 9C340D028203E80E, Celsius: 52, A: +5.25, rev/s: +2.494,  rev: +10.600
2024/04/15 15:36:38 ID: 241, Data: 9C35920222024A0F, Celsius: 53, A: +6.58, rev/s: +1.517,  rev: +10.872
2024/04/15 15:36:39 ID: 241, Data: 9C353F02E401AF0F, Celsius: 53, A: +5.75, rev/s: +1.344,  rev: +11.153
2024/04/15 15:36:39 ID: 241, Data: 9C350402F5021710, Celsius: 53, A: +5.16, rev/s: +2.103,  rev: +11.442
2024/04/15 15:36:39 ID: 241, Data: 9C3575009D066D10, Celsius: 53, A: +1.17, rev/s: +4.703,  rev: +11.681
2024/04/15 15:36:39 ID: 241, Data: 9C35AB02E001AE10, Celsius: 53, A: +6.83, rev/s: +1.333,  rev: +11.861
2024/04/15 15:36:39 ID: 241, Data: 9C359802C2010711, Celsius: 53, A: +6.64, rev/s: +1.250,  rev: +12.108
2024/04/15 15:36:39 ID: 241, Data: 9C359A0193033F11, Celsius: 53, A: +4.10, rev/s: +2.542,  rev: +12.264
2024/04/15 15:36:39 ID: 241, Data: 9C356902DE019911, Celsius: 53, A: +6.17, rev/s: +1.328,  rev: +12.514
2024/04/15 15:36:39 ID: 241, Data: 9C3589027B01F111, Celsius: 53, A: +6.49, rev/s: +1.053,  rev: +12.758
2024/04/15 15:36:39 ID: 241, Data: 9C350D030200FE11, Celsius: 53, A: +7.81, rev/s: +0.006,  rev: +12.794
2024/04/15 15:36:39 ID: 241, Data: 9C350B030900FE11, Celsius: 53, A: +7.79, rev/s: +0.025,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C350D030C00FE11, Celsius: 53, A: +7.81, rev/s: +0.033,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C350E030A00FE11, Celsius: 53, A: +7.82, rev/s: +0.028,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C350B030C00FE11, Celsius: 53, A: +7.79, rev/s: +0.033,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C350D03EDFFFE11, Celsius: 53, A: +7.81, rev/s: -0.053,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C3508030D00FE11, Celsius: 53, A: +7.76, rev/s: +0.036,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C350C030300FE11, Celsius: 53, A: +7.80, rev/s: +0.008,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C360A03FBFFFE11, Celsius: 54, A: +7.78, rev/s: -0.014,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C3609031A00FE11, Celsius: 54, A: +7.77, rev/s: +0.072,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C360B03F6FFFE11, Celsius: 54, A: +7.79, rev/s: -0.028,  rev: +12.794
2024/04/15 15:36:40 ID: 241, Data: 9C3609030500FE11, Celsius: 54, A: +7.77, rev/s: +0.014,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C3606030D00FE11, Celsius: 54, A: +7.74, rev/s: +0.036,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C360703FDFFFE11, Celsius: 54, A: +7.75, rev/s: -0.008,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C360603E6FFFE11, Celsius: 54, A: +7.74, rev/s: -0.072,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C3606030100FE11, Celsius: 54, A: +7.74, rev/s: +0.003,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C3605031400FE11, Celsius: 54, A: +7.73, rev/s: +0.056,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C3704031500FE11, Celsius: 55, A: +7.72, rev/s: +0.058,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C3701030400FE11, Celsius: 55, A: +7.69, rev/s: +0.011,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C3700031400FE11, Celsius: 55, A: +7.68, rev/s: +0.056,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C3703030B00FE11, Celsius: 55, A: +7.71, rev/s: +0.031,  rev: +12.794
2024/04/15 15:36:41 ID: 241, Data: 9C370103ECFFFE11, Celsius: 55, A: +7.69, rev/s: -0.056,  rev: +12.794
2024/04/15 15:36:42 ID: 241, Data: 9C370103FEFFFE11, Celsius: 55, A: +7.69, rev/s: -0.006,  rev: +12.794
2024/04/15 15:36:42 ID: 241, Data: 9C3801030900FE11, Celsius: 56, A: +7.69, rev/s: +0.025,  rev: +12.794
2024/04/15 15:36:42 ID: 241, Data: 9C38FF020A00FE11, Celsius: 56, A: +7.67, rev/s: +0.028,  rev: +12.794
2024/04/15 15:36:42 ID: 241, Data: 9C38EA022000FE11, Celsius: 56, A: +7.46, rev/s: +0.089,  rev: +12.794
2024/04/15 15:36:42 ID: 241, Data: 9C3846030F000412, Celsius: 56, A: +8.38, rev/s: +0.042,  rev: +12.811
2024/04/15 15:36:42 ID: 241, Data: 9C3846030D000412, Celsius: 56, A: +8.38, rev/s: +0.036,  rev: +12.811
2024/04/15 15:36:42 ID: 241, Data: 9C385C0314000412, Celsius: 56, A: +8.60, rev/s: +0.056,  rev: +12.811
2024/04/15 15:36:42 ID: 241, Data: 9C39F5022E000C12, Celsius: 57, A: +7.57, rev/s: +0.128,  rev: +12.833
2024/04/15 15:36:42 ID: 241, Data: 9C39C602A6012312, Celsius: 57, A: +7.10, rev/s: +1.172,  rev: +12.897
2024/04/15 15:36:43 ID: 241, Data: 9C39A502BE016E12, Celsius: 57, A: +6.77, rev/s: +1.239,  rev: +13.106
2024/04/15 15:36:43 ID: 241, Data: 9C39240328008412, Celsius: 57, A: +8.04, rev/s: +0.111,  rev: +13.167
2024/04/15 15:36:43 ID: 241, Data: 9C39240305008812, Celsius: 57, A: +8.04, rev/s: +0.014,  rev: +13.178
2024/04/15 15:36:43 ID: 241, Data: 9C3A2103E1FF8812, Celsius: 58, A: +8.01, rev/s: -0.086,  rev: +13.178
2024/04/15 15:36:43 ID: 241, Data: 9C3A200300008812, Celsius: 58, A: +8.00, rev/s: +0.000,  rev: +13.178
2024/04/15 15:36:43 ID: 241, Data: 9C3A1E0317008812, Celsius: 58, A: +7.98, rev/s: +0.064,  rev: +13.178
2024/04/15 15:36:43 ID: 241, Data: 9C3A1F031C008812, Celsius: 58, A: +7.99, rev/s: +0.078,  rev: +13.178
2024/04/15 15:36:43 ID: 241, Data: 9C3A2203F0FF8812, Celsius: 58, A: +8.02, rev/s: -0.044,  rev: +13.178
2024/04/15 15:36:43 ID: 241, Data: 9C3A2B03F3FF8912, Celsius: 58, A: +8.11, rev/s: -0.036,  rev: +13.181
2024/04/15 15:36:43 ID: 241, Data: 9C3A28030A008912, Celsius: 58, A: +8.08, rev/s: +0.028,  rev: +13.181
2024/04/15 15:36:44 ID: 241, Data: 9C392A03FDFF8912, Celsius: 57, A: +8.10, rev/s: -0.008,  rev: +13.181
2024/04/15 15:36:44 ID: 241, Data: 9C3A320312008912, Celsius: 58, A: +8.18, rev/s: +0.050,  rev: +13.181
2024/04/15 15:36:44 ID: 241, Data: 9C3AE7020D008C12, Celsius: 58, A: +7.43, rev/s: +0.036,  rev: +13.189
2024/04/15 15:36:44 ID: 241, Data: 9C3AD20212019412, Celsius: 58, A: +7.22, rev/s: +0.761,  rev: +13.211
2024/04/15 15:36:44 ID: 241, Data: 9C3A1D014705C212, Celsius: 58, A: +2.85, rev/s: +3.753,  rev: +13.339
2024/04/15 15:36:44 ID: 241, Data: 9C3A6F02D1010E13, Celsius: 58, A: +6.23, rev/s: +1.292,  rev: +13.550
2024/04/15 15:36:44 ID: 241, Data: 9C3A6C024A016613, Celsius: 58, A: +6.20, rev/s: +0.917,  rev: +13.794
2024/04/15 15:36:44 ID: 241, Data: 9C3A3102EF018D13, Celsius: 58, A: +5.61, rev/s: +1.375,  rev: +13.903
2024/04/15 15:36:44 ID: 241, Data: 9C3A7F028001DF13, Celsius: 58, A: +6.39, rev/s: +1.067,  rev: +14.131
2024/04/15 15:36:44 ID: 241, Data: 9C3B060066FEC313, Celsius: 59, A: +0.06, rev/s: -1.139,  rev: +14.053
2024/04/15 15:36:45 ID: 241, Data: 9C3B84001900B213, Celsius: 59, A: +1.32, rev/s: +0.069,  rev: +14.006
2024/04/15 15:36:45 ID: 241, Data: 9C3B1F000300B313, Celsius: 59, A: +0.31, rev/s: +0.008,  rev: +14.008
2024/04/15 15:36:45 ID: 241, Data: 9C3BE6FFFCFFB313, Celsius: 59, A: -0.26, rev/s: -0.011,  rev: +14.008
2024/04/15 15:36:45 ID: 241, Data: 9C3B5100FEFFAD13, Celsius: 59, A: +0.81, rev/s: -0.006,  rev: +13.992
2024/04/15 15:36:45 ID: 241, Data: 9C3B8000E1FFAE13, Celsius: 59, A: +1.28, rev/s: -0.086,  rev: +13.994
