2024/04/17 13:46:55 ID: 241, Data: 9C2C750095FFAC13, Celsius: 44, A: +1.17, rev/s: -0.297,  rev: +13.989
2024/04/17 13:46:56 ID: 241, Data: 9C2C74000AFF9B13, Celsius: 44, A: +1.16, rev/s: -0.683,  rev: +13.942
2024/04/17 13:46:56 ID: 241, Data: 9C2B6B00CEFE8013, Celsius: 43, A: +1.07, rev/s: -0.850,  rev: +13.867
2024/04/17 13:46:56 ID: 241, Data: 9C2B5F004CFE5C13, Celsius: 43, A: +0.95, rev/s: -1.211,  rev: +13.767
2024/04/17 13:46:56 ID: 241, Data: 9C2B910005FE2A13, Celsius: 43, A: +1.45, rev/s: -1.408,  rev: +13.628
2024/04/17 13:46:56 ID: 241, Data: 9C2C8300A0FDF212, Celsius: 44, A: +1.31, rev/s: -1.689,  rev: +13.472
2024/04/17 13:46:56 ID: 241, Data: 9C2BC1004BFDAB12, Celsius: 43, A: +1.93, rev/s: -1.925,  rev: +13.275
2024/04/17 13:46:56 ID: 241, Data: 9C2CB8000FFD5F12, Celsius: 44, A: +1.84, rev/s: -2.092,  rev: +13.064
2024/04/17 13:46:56 ID: 241, Data: 9C2CA40036FC0612, Celsius: 44, A: +1.64, rev/s: -2.694,  rev: +12.817
2024/04/17 13:46:56 ID: 241, Data: 9C2CC40016FCA011, Celsius: 44, A: +1.96, rev/s: -2.783,  rev: +12.533
2024/04/17 13:46:57 ID: 241, Data: 9C2C6700E6FB3411, Celsius: 44, A: +1.03, rev/s: -2.917,  rev: +12.233
2024/04/17 13:46:57 ID: 241, Data: 9C2CDA0078FBB710, Celsius: 44, A: +2.18, rev/s: -3.222,  rev: +11.886
2024/04/17 13:46:57 ID: 241, Data: 9C2C2D000BFA3810, Celsius: 44, A: +0.45, rev/s: -4.236,  rev: +11.533
2024/04/17 13:46:57 ID: 241, Data: 9C2CFEFF8CFAAB0F, Celsius: 44, A: -0.02, rev/s: -3.878,  rev: +11.142
2024/04/17 13:46:57 ID: 241, Data: 9C2CAE005EF9090F, Celsius: 44, A: +1.74, rev/s: -4.717,  rev: +10.692
2024/04/17 13:46:57 ID: 241, Data: 9C2CF1FF89F9730E, Celsius: 44, A: -0.15, rev/s: -4.597,  rev: +10.275
2024/04/17 13:46:57 ID: 241, Data: 9C2CFAFF8EF9C70D, Celsius: 44, A: -0.06, rev/s: -4.583,  rev: +9.797
2024/04/17 13:46:57 ID: 241, Data: 9C2CFDFFB9F9210D, Celsius: 44, A: -0.03, rev/s: -4.464,  rev: +9.336
2024/04/17 13:46:57 ID: 241, Data: 9C2B1401C8F8710C, Celsius: 43, A: +2.76, rev/s: -5.133,  rev: +8.847
2024/04/17 13:46:57 ID: 241, Data: 9C2C5E01C5F9D10B, Celsius: 44, A: +3.50, rev/s: -4.431,  rev: +8.403
2024/04/17 13:46:58 ID: 241, Data: 9C2C19005EF9340B, Celsius: 44, A: +0.25, rev/s: -4.717,  rev: +7.967
2024/04/17 13:46:58 ID: 241, Data: 9C2CEF00D4F8820A, Celsius: 44, A: +2.39, rev/s: -5.100,  rev: +7.472
2024/04/17 13:46:58 ID: 241, Data: 9C2BE600BBFAE309, Celsius: 43, A: +2.30, rev/s: -3.747,  rev: +7.031
2024/04/17 13:46:58 ID: 241, Data: 9C2C2500E1F83F09, Celsius: 44, A: +0.37, rev/s: -5.064,  rev: +6.575
2024/04/17 13:46:58 ID: 241, Data: 9C2C0501B6F98D08, Celsius: 44, A: +2.61, rev/s: -4.472,  rev: +6.081
2024/04/17 13:46:58 ID: 241, Data: 9C2C000182F9EE07, Celsius: 44, A: +2.56, rev/s: -4.617,  rev: +5.639
2024/04/17 13:46:58 ID: 241, Data: 9C2C3D009EF94D07, Celsius: 44, A: +0.61, rev/s: -4.539,  rev: +5.192
2024/04/17 13:46:58 ID: 241, Data: 9C2C29019BF99C06, Celsius: 44, A: +2.97, rev/s: -4.547,  rev: +4.700
2024/04/17 13:46:58 ID: 241, Data: 9C2C650005FA0306, Celsius: 44, A: +1.01, rev/s: -4.253,  rev: +4.275
2024/04/17 13:46:58 ID: 241, Data: 9C2C70001DF95605, Celsius: 44, A: +1.12, rev/s: -4.897,  rev: +3.794
2024/04/17 13:46:59 ID: 241, Data: 9C2C0F0145FAAD04, Celsius: 44, A: +2.71, rev/s: -4.075,  rev: +3.325
2024/04/17 13:46:59 ID: 241, Data: 9C2C3E00AEFA1F04, Celsius: 44, A: +0.62, rev/s: -3.783,  rev: +2.931
2024/04/17 13:46:59 ID: 241, Data: 9C2C540040FA8A03, Celsius: 44, A: +0.84, rev/s: -4.089,  rev: +2.517
2024/04/17 13:46:59 ID: 241, Data: 9C2CC40016FB0203, Celsius: 44, A: +1.96, rev/s: -3.494,  rev: +2.139
2024/04/17 13:46:59 ID: 241, Data: 9C2C290096FB9002, Celsius: 44, A: +0.41, rev/s: -3.139,  rev: +1.822
2024/04/17 13:46:59 ID: 241, Data: 9C2C5700A2FB1902, Celsius: 44, A: +0.87, rev/s: -3.106,  rev: +1.492
2024/04/17 13:46:59 ID: 241, Data: 9C2C5400D3FCB601, Celsius: 44, A: +0.84, rev/s: -2.258,  rev: +1.217
2024/04/17 13:46:59 ID: 241, Data: 9C2C3B0089FC5A01, Celsius: 44, A: +0.59, rev/s: -2.464,  rev: +0.961
2024/04/17 13:46:59 ID: 241, Data: 9C2C5C0009FD0801, Celsius: 44, A: +0.92, rev/s: -2.108,  rev: +0.733
2024/04/17 13:46:59 ID: 241, Data: 9C2C1E0064FDC500, Celsius: 44, A: +0.30, rev/s: -1.856,  rev: +0.547
2024/04/17 13:47:00 ID: 241, Data: 9C2C130036FE8A00, Celsius: 44, A: +0.19, rev/s: -1.272,  rev: +0.383
2024/04/17 13:47:00 ID: 241, Data: 9C2C2D004BFE5800, Celsius: 44, A: +0.45, rev/s: -1.214,  rev: +0.244
2024/04/17 13:47:00 ID: 241, Data: 9C2C3F003DFF3200, Celsius: 44, A: +0.63, rev/s: -0.542,  rev: +0.139
2024/04/17 13:47:00 ID: 241, Data: 9C2C010044FF1800, Celsius: 44, A: +0.01, rev/s: -0.522,  rev: +0.067
2024/04/17 13:47:00 ID: 241, Data: 9C2C100088FF0600, Celsius: 44, A: +0.16, rev/s: -0.333,  rev: +0.017
