2024/04/17 13:17:14 ID: 241, Data: 9C204C003600F6FF, Celsius: 32, A: +0.76, rev/s: +0.150,  rev: -0.028
2024/04/17 13:17:14 ID: 241, Data: 9C209A0017010400, Celsius: 32, A: +1.54, rev/s: +0.775,  rev: +0.011
2024/04/17 13:17:14 ID: 241, Data: 9C201E0110011D00, Celsius: 32, A: +2.86, rev/s: +0.756,  rev: +0.081
2024/04/17 13:17:14 ID: 241, Data: 9C205100FF004C00, Celsius: 32, A: +0.81, rev/s: +0.708,  rev: +0.211
2024/04/17 13:17:15 ID: 241, Data: 9C20B30126026C00, Celsius: 32, A: +4.35, rev/s: +1.528,  rev: +0.300
2024/04/17 13:17:15 ID: 241, Data: 9C20D000BC06B400, Celsius: 32, A: +2.08, rev/s: +4.789,  rev: +0.500
2024/04/17 13:17:15 ID: 241, Data: 9C2041018001F300, Celsius: 32, A: +3.21, rev/s: +1.067,  rev: +0.675
2024/04/17 13:17:15 ID: 241, Data: 9C204701E3045A01, Celsius: 32, A: +3.27, rev/s: +3.475,  rev: +0.961
2024/04/17 13:17:15 ID: 241, Data: 9C200C01BE049A01, Celsius: 32, A: +2.68, rev/s: +3.372,  rev: +1.139
2024/04/17 13:17:15 ID: 241, Data: 9C209802AF02F101, Celsius: 32, A: +6.64, rev/s: +1.908,  rev: +1.381
2024/04/17 13:17:15 ID: 241, Data: 9C208102E8026802, Celsius: 32, A: +6.41, rev/s: +2.067,  rev: +1.711
2024/04/17 13:17:15 ID: 241, Data: 9C2096023403E302, Celsius: 32, A: +6.62, rev/s: +2.278,  rev: +2.053
2024/04/17 13:17:15 ID: 241, Data: 9C207C02F8026303, Celsius: 32, A: +6.36, rev/s: +2.111,  rev: +2.408
2024/04/17 13:17:15 ID: 241, Data: 9C20DF027D02D603, Celsius: 32, A: +7.35, rev/s: +1.769,  rev: +2.728
2024/04/17 13:17:16 ID: 241, Data: 9C20060332024F04, Celsius: 32, A: +7.74, rev/s: +1.561,  rev: +3.064
2024/04/17 13:17:16 ID: 241, Data: 9C20F802C702C304, Celsius: 32, A: +7.60, rev/s: +1.975,  rev: +3.386
2024/04/17 13:17:16 ID: 241, Data: 9C20880380012905, Celsius: 32, A: +9.04, rev/s: +1.067,  rev: +3.669
2024/04/17 13:17:16 ID: 241, Data: 9C208803BA003C05, Celsius: 32, A: +9.04, rev/s: +0.517,  rev: +3.722
2024/04/17 13:17:16 ID: 241, Data: 9C218F030F003D05, Celsius: 33, A: +9.11, rev/s: +0.042,  rev: +3.725
2024/04/17 13:17:16 ID: 241, Data: 9C218F0309003D05, Celsius: 33, A: +9.11, rev/s: +0.025,  rev: +3.725
2024/04/17 13:17:16 ID: 241, Data: 9C219203F8FF3D05, Celsius: 33, A: +9.14, rev/s: -0.022,  rev: +3.725
2024/04/17 13:17:16 ID: 241, Data: 9C219003FEFF3D05, Celsius: 33, A: +9.12, rev/s: -0.006,  rev: +3.725
2024/04/17 13:17:16 ID: 241, Data: 9C219203EBFF3D05, Celsius: 33, A: +9.14, rev/s: -0.058,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C218F030B003D05, Celsius: 33, A: +9.11, rev/s: +0.031,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C218F0300003D05, Celsius: 33, A: +9.11, rev/s: +0.000,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C228E03FBFF3D05, Celsius: 34, A: +9.10, rev/s: -0.014,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C228D03F9FF3D05, Celsius: 34, A: +9.09, rev/s: -0.019,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C228A03EEFF3D05, Celsius: 34, A: +9.06, rev/s: -0.050,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C228A03FDFF3D05, Celsius: 34, A: +9.06, rev/s: -0.008,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C238903FDFF3D05, Celsius: 35, A: +9.05, rev/s: -0.008,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C23880303003D05, Celsius: 35, A: +9.04, rev/s: +0.008,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C23860301003D05, Celsius: 35, A: +9.02, rev/s: +0.003,  rev: +3.725
2024/04/17 13:17:17 ID: 241, Data: 9C24850316003D05, Celsius: 36, A: +9.01, rev/s: +0.061,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C24830309003D05, Celsius: 36, A: +8.99, rev/s: +0.025,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C248403FFFF3D05, Celsius: 36, A: +9.00, rev/s: -0.003,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C258103FAFF3D05, Celsius: 37, A: +8.97, rev/s: -0.017,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C258103F3FF3D05, Celsius: 37, A: +8.97, rev/s: -0.036,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C257F0302003D05, Celsius: 37, A: +8.95, rev/s: +0.006,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C267F030A003D05, Celsius: 38, A: +8.95, rev/s: +0.028,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C267D03F5FF3D05, Celsius: 38, A: +8.93, rev/s: -0.031,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C267C030B003D05, Celsius: 38, A: +8.92, rev/s: +0.031,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C277C0309003D05, Celsius: 39, A: +8.92, rev/s: +0.025,  rev: +3.725
2024/04/17 13:17:18 ID: 241, Data: 9C277B03FBFF3D05, Celsius: 39, A: +8.91, rev/s: -0.014,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C277A031B003D05, Celsius: 39, A: +8.90, rev/s: +0.075,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2878030F003D05, Celsius: 40, A: +8.88, rev/s: +0.042,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C29770300003D05, Celsius: 41, A: +8.87, rev/s: +0.000,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C29760301003D05, Celsius: 41, A: +8.86, rev/s: +0.003,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C297503F4FF3D05, Celsius: 41, A: +8.85, rev/s: -0.033,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2A73030D003D05, Celsius: 42, A: +8.83, rev/s: +0.036,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2A730304003D05, Celsius: 42, A: +8.83, rev/s: +0.011,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2B7303E7FF3D05, Celsius: 43, A: +8.83, rev/s: -0.069,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2B700314003D05, Celsius: 43, A: +8.80, rev/s: +0.056,  rev: +3.725
2024/04/17 13:17:19 ID: 241, Data: 9C2B6F030D003D05, Celsius: 43, A: +8.79, rev/s: +0.036,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2C6E030F003D05, Celsius: 44, A: +8.78, rev/s: +0.042,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2C6E0307003D05, Celsius: 44, A: +8.78, rev/s: +0.019,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2C6D0300003D05, Celsius: 44, A: +8.77, rev/s: +0.000,  rev: +3.725
2024/04/17 13:17:20 ID: 241, Data: 9C2D6B03F9FF3D05, Celsius: 45, A: +8.75, rev/s: -0.019,  rev: +3.725
