2024/04/17 13:46:06 ID: 241, Data: 9C2B27008F000400, Celsius: 43, A: +0.39, rev/s: +0.397,  rev: +0.011
2024/04/17 13:46:07 ID: 241, Data: 9C2B1500DE001500, Celsius: 43, A: +0.21, rev/s: +0.617,  rev: +0.058
2024/04/17 13:46:07 ID: 241, Data: 9C2B7D00FC002D00, Celsius: 43, A: +1.25, rev/s: +0.700,  rev: +0.125
2024/04/17 13:46:07 ID: 241, Data: 9C2BE400B2015100, Celsius: 43, A: +2.28, rev/s: +1.206,  rev: +0.225
2024/04/17 13:46:07 ID: 241, Data: 9C2BDB00E6018300, Celsius: 43, A: +2.19, rev/s: +1.350,  rev: +0.364
2024/04/17 13:46:07 ID: 241, Data: 9C2C25017E02BB00, Celsius: 44, A: +2.93, rev/s: +1.772,  rev: +0.519
2024/04/17 13:46:07 ID: 241, Data: 9C2BCE00DE020301, Celsius: 43, A: +2.06, rev/s: +2.039,  rev: +0.719
2024/04/17 13:46:07 ID: 241, Data: 9C2BDA0079034F01, Celsius: 43, A: +2.18, rev/s: +2.469,  rev: +0.931
2024/04/17 13:46:07 ID: 241, Data: 9C2B80002D03AA01, Celsius: 43, A: +1.28, rev/s: +2.258,  rev: +1.183
2024/04/17 13:46:07 ID: 241, Data: 9C2C500135040702, Celsius: 44, A: +3.36, rev/s: +2.992,  rev: +1.442
2024/04/17 13:46:07 ID: 241, Data: 9C2BDA0070047F02, Celsius: 43, A: +2.18, rev/s: +3.156,  rev: +1.775
2024/04/17 13:46:08 ID: 241, Data: 9C2B49019204F002, Celsius: 43, A: +3.29, rev/s: +3.250,  rev: +2.089
2024/04/17 13:46:08 ID: 241, Data: 9C2A31014E057803, Celsius: 42, A: +3.05, rev/s: +3.772,  rev: +2.467
2024/04/17 13:46:08 ID: 241, Data: 9C2B1A01DE050404, Celsius: 43, A: +2.82, rev/s: +4.172,  rev: +2.856
2024/04/17 13:46:08 ID: 241, Data: 9C2B5501AC059804, Celsius: 43, A: +3.41, rev/s: +4.033,  rev: +3.267
2024/04/17 13:46:08 ID: 241, Data: 9C2BD9018A042205, Celsius: 43, A: +4.73, rev/s: +3.228,  rev: +3.650
2024/04/17 13:46:08 ID: 241, Data: 9C2B44016B05A405, Celsius: 43, A: +3.24, rev/s: +3.853,  rev: +4.011
2024/04/17 13:46:08 ID: 241, Data: 9C2BCB01B3043006, Celsius: 43, A: +4.59, rev/s: +3.342,  rev: +4.400
2024/04/17 13:46:08 ID: 241, Data: 9C2CC1018A04A106, Celsius: 44, A: +4.49, rev/s: +3.228,  rev: +4.714
2024/04/17 13:46:08 ID: 241, Data: 9C2B990103051B07, Celsius: 43, A: +4.09, rev/s: +3.564,  rev: +5.053
2024/04/17 13:46:09 ID: 241, Data: 9C2B3501A205A707, Celsius: 43, A: +3.09, rev/s: +4.006,  rev: +5.442
2024/04/17 13:46:09 ID: 241, Data: 9C2C6A0119053908, Celsius: 44, A: +3.62, rev/s: +3.625,  rev: +5.847
2024/04/17 13:46:09 ID: 241, Data: 9C2CB5010405B208, Celsius: 44, A: +4.37, rev/s: +3.567,  rev: +6.183
2024/04/17 13:46:09 ID: 241, Data: 9C2C2F019D053F09, Celsius: 44, A: +3.03, rev/s: +3.992,  rev: +6.575
2024/04/17 13:46:09 ID: 241, Data: 9C2C2F01CE05D309, Celsius: 44, A: +3.03, rev/s: +4.128,  rev: +6.986
2024/04/17 13:46:09 ID: 241, Data: 9C2CD001C304640A, Celsius: 44, A: +4.64, rev/s: +3.386,  rev: +7.389
2024/04/17 13:46:09 ID: 241, Data: 9C2C3E016005EA0A, Celsius: 44, A: +3.18, rev/s: +3.822,  rev: +7.761
2024/04/17 13:46:09 ID: 241, Data: 9C2C5D01B405790B, Celsius: 44, A: +3.49, rev/s: +4.056,  rev: +8.158
2024/04/17 13:46:09 ID: 241, Data: 9C2C62019B05070C, Celsius: 44, A: +3.54, rev/s: +3.986,  rev: +8.553
2024/04/17 13:46:09 ID: 241, Data: 9C2C9F0191048E0C, Celsius: 44, A: +4.15, rev/s: +3.247,  rev: +8.928
2024/04/17 13:46:10 ID: 241, Data: 9C2CA40115050A0D, Celsius: 44, A: +4.20, rev/s: +3.614,  rev: +9.272
2024/04/17 13:46:10 ID: 241, Data: 9C2C78012205930D, Celsius: 44, A: +3.76, rev/s: +3.650,  rev: +9.653
2024/04/17 13:46:10 ID: 241, Data: 9C2C75011D05220E, Celsius: 44, A: +3.73, rev/s: +3.636,  rev: +10.050
2024/04/17 13:46:10 ID: 241, Data: 9C2CBF018104960E, Celsius: 44, A: +4.47, rev/s: +3.203,  rev: +10.372
2024/04/17 13:46:10 ID: 241, Data: 9C2CC7015D04220F, Celsius: 44, A: +4.55, rev/s: +3.103,  rev: +10.761
2024/04/17 13:46:10 ID: 241, Data: 9C2CF401EB03850F, Celsius: 44, A: +5.00, rev/s: +2.786,  rev: +11.036
2024/04/17 13:46:10 ID: 241, Data: 9C2C4501B5050910, Celsius: 44, A: +3.25, rev/s: +4.058,  rev: +11.403
2024/04/17 13:46:10 ID: 241, Data: 9C2C0902AC039410, Celsius: 44, A: +5.21, rev/s: +2.611,  rev: +11.789
2024/04/17 13:46:10 ID: 241, Data: 9C2CC1018504FB10, Celsius: 44, A: +4.49, rev/s: +3.214,  rev: +12.075
2024/04/17 13:46:10 ID: 241, Data: 9C2CBA01CF047D11, Celsius: 44, A: +4.42, rev/s: +3.419,  rev: +12.436
2024/04/17 13:46:11 ID: 241, Data: 9C2CEE018504F511, Celsius: 44, A: +4.94, rev/s: +3.214,  rev: +12.769
2024/04/17 13:46:11 ID: 241, Data: 9C2CA301ED047D12, Celsius: 44, A: +4.19, rev/s: +3.503,  rev: +13.147
2024/04/17 13:46:11 ID: 241, Data: 9C2C4A0155050013, Celsius: 44, A: +3.30, rev/s: +3.792,  rev: +13.511
2024/04/17 13:46:11 ID: 241, Data: 9C2C2801B7059213, Celsius: 44, A: +2.96, rev/s: +4.064,  rev: +13.917
2024/04/17 13:46:11 ID: 241, Data: 9C2DCEFF06FEEE13, Celsius: 45, A: -0.50, rev/s: -1.406,  rev: +14.172
2024/04/17 13:46:11 ID: 241, Data: 9C2DFAFFDDFFBB13, Celsius: 45, A: -0.06, rev/s: -0.097,  rev: +14.031
